work_id,title,edition_id,year,tcp_unit,words,chunks,missing_gaps,chosen,policy,basis
24,"The Three Laws of Nature, Moses, and Christ, Corrupted by the Sodomite",40,1548,A02738,15015,30,,Y,earliest dated edition (Kim 2026 default policy),
24,"The Three Laws of Nature, Moses, and Christ, Corrupted by the Sodomite",41,1562,A02749,14735,30,,,,
29,Thyestes (Seneca's Second Tragedy),50,1560,A11914,12280,24,,Y,earliest dated edition (Kim 2026 default policy),
29,Thyestes (Seneca's Second Tragedy),51,1581,A11909.2,12269,24,,,,
34,Hercules Furens (Mad Hercules) (Seneca's First Tragedy),59,1561,A11911,14044,28,,Y,earliest dated edition (Kim 2026 default policy),
34,Hercules Furens (Mad Hercules) (Seneca's First Tragedy),60,1581,A11909.1,14024,28,,,,
39,Ferrex and Porrex (Gorboduc),68,1565,A08360,14449,29,,Y,earliest dated edition (Kim 2026 default policy),
39,Ferrex and Porrex (Gorboduc),69,1570,A08361,14387,29,,,,
42,Agamemnon (Seneca's Eighth Tragedy),76,1566,A11910,13750,28,,Y,earliest dated edition (Kim 2026 default policy),
42,Agamemnon (Seneca's Eighth Tragedy),77,1581,A11909.8,13715,28,,,,
44,Medea (Seneca's Seventh Tragedy),79,1566,A11912,15253,30,,Y,earliest dated edition (Kim 2026 default policy),
44,Medea (Seneca's Seventh Tragedy),80,1581,A11909.7,15227,30,,,,
45,Octavia (Seneca's Ninth Tragedy),81,1566,A11917,11508,23,,Y,earliest dated edition (Kim 2026 default policy),
45,Octavia (Seneca's Ninth Tragedy),82,1581,A11909.9,11478,23,,,,
60,Supposes,103,1573,A01513.1,17939,36,,Y,earliest dated edition (Kim 2026 default policy),
60,Supposes,104,1575,A01514.3,17966,36,,,,
61,Jocasta,106,1573,A01513.2,21947,44,,Y,earliest dated edition (Kim 2026 default policy),
61,Jocasta,107,1575,A01514.4,33874,68,,,,
101,1 The Troublesome Reign of King John,170,1591,A68278.1,13400,27,,Y,earliest dated edition (Kim 2026 default policy),
101,1 The Troublesome Reign of King John,171,1611,A04520.1,14048,29,,,,
117,Titus Andronicus,211,1594,A12017,19208,38,,Y,earliest dated edition (Kim 2026 default policy),
117,Titus Andronicus,214,1623,A11954.27,19817,40,,,,
119,2 Henry the Sixth (The First Part of the Contention betwixt the Two Fa,222,1600,A68931,16092,32,,Y,earliest dated edition (Kim 2026 default policy),
119,2 Henry the Sixth (The First Part of the Contention betwixt the Two Fa,224,1623,A11954.21,24454,49,,,,
120,The Taming of a Shrew,226,1594,A13358,12239,25,,Y,earliest dated edition (Kim 2026 default policy),
120,The Taming of a Shrew,228,1607,A13360,12267,25,,,,
120.5,The Taming of the Shrew,229,1623,A11954.11,20457,41,,Y,earliest dated edition (Kim 2026 default policy),
120.5,The Taming of the Shrew,230,1631,A12016,20456,41,,,,
