chunk_id,edition_id,file,node_start,node_end,piece_start,piece_end,n_pieces_end,len_A_chars,len_B_chars,len_B_words,len_B_tokens,flags
9_00000,9,9__A00471.txt,0,70,0,0,1,2746,2673,521,611,
9_00001,9,9__A00471.txt,71,138,0,0,1,2567,2484,504,579,
9_00002,9,9__A00471.txt,139,204,0,0,1,2357,2323,474,549,
9_00003,9,9__A00471.txt,205,268,0,0,1,2313,2239,473,529,
9_00004,9,9__A00471.txt,269,325,0,0,1,2270,2201,466,511,
9_00005,9,9__A00471.txt,326,391,0,0,1,2445,2358,500,580,
9_00006,9,9__A00471.txt,392,452,0,0,1,2343,2272,471,536,
9_00007,9,9__A00471.txt,453,515,0,0,1,2201,2147,460,514,
9_00008,9,9__A00471.txt,516,579,0,0,1,2570,2512,482,543,
9_00009,9,9__A00471.txt,580,641,0,0,1,2426,2368,466,544,
9_00010,9,9__A00471.txt,642,710,0,0,1,2472,2400,473,553,
9_00011,9,9__A00471.txt,711,779,0,0,1,2752,2687,510,609,
9_00012,9,9__A00471.txt,780,850,0,0,1,2486,2409,502,563,
9_00013,9,9__A00471.txt,851,920,0,0,1,2675,2592,518,609,
11_00000,11,11__A10439.txt,0,73,0,0,1,3039,3050,563,728,
11_00001,11,11__A10439.txt,74,146,0,0,1,3056,3041,568,671,
11_00002,11,11__A10439.txt,147,216,0,0,1,2886,2875,521,638,
11_00003,11,11__A10439.txt,217,279,0,0,1,2659,2626,496,611,
11_00004,11,11__A10439.txt,280,338,0,0,1,2517,2531,489,598,
11_00005,11,11__A10439.txt,339,398,0,0,1,2558,2547,505,618,
11_00006,11,11__A10439.txt,399,476,0,0,1,2467,2435,513,608,
11_00007,11,11__A10439.txt,477,552,0,0,1,2403,2369,491,551,
11_00008,11,11__A10439.txt,553,627,0,0,1,2408,2407,497,623,
11_00009,11,11__A10439.txt,628,706,0,0,1,2410,2380,476,563,
11_00010,11,11__A10439.txt,707,793,0,0,1,2847,2803,532,636,
11_00011,11,11__A10439.txt,794,877,0,0,1,2747,2726,535,639,
11_00012,11,11__A10439.txt,878,950,0,0,1,2333,2294,487,540,
11_00013,11,11__A10439.txt,951,1022,0,0,1,2325,2296,488,584,
11_00014,11,11__A10439.txt,1023,1095,0,0,1,2351,2293,475,540,
11_00015,11,11__A10439.txt,1096,1170,0,0,1,2368,2347,490,580,
11_00016,11,11__A10439.txt,1171,1243,0,0,1,2295,2276,473,554,
11_00017,11,11__A10439.txt,1244,1316,0,0,1,2298,2317,484,581,
11_00018,11,11__A10439.txt,1317,1390,0,0,1,2391,2386,487,583,
13_00000,13,13__A10440.1.txt,0,74,0,0,1,2933,2918,565,657,
13_00001,13,13__A10440.1.txt,75,144,0,0,1,2709,2722,526,630,
13_00002,13,13__A10440.1.txt,145,219,0,0,1,2849,2860,553,647,
13_00003,13,13__A10440.1.txt,220,283,0,0,1,2546,2540,516,610,
13_00004,13,13__A10440.1.txt,284,351,0,0,1,2597,2617,541,612,
13_00005,13,13__A10440.1.txt,352,413,0,0,1,2403,2409,491,561,
13_00006,13,13__A10440.1.txt,414,469,0,0,1,2225,2212,472,517,
14_00000,14,14__A10440.2.txt,0,69,0,0,1,2701,2718,528,607,
14_00001,14,14__A10440.2.txt,70,142,0,0,1,2888,2900,529,652,
14_00002,14,14__A10440.2.txt,143,203,0,0,1,2408,2434,473,547,
14_00003,14,14__A10440.2.txt,204,265,0,0,1,2513,2521,507,577,
14_00004,14,14__A10440.2.txt,266,329,0,0,1,2605,2609,502,564,
14_00005,14,14__A10440.2.txt,330,389,0,0,1,2372,2364,454,532,
14_00006,14,14__A10440.2.txt,390,453,0,0,1,2442,2445,476,591,
14_00007,14,14__A10440.2.txt,454,510,0,0,1,2282,2311,463,551,
14_00008,14,14__A10440.2.txt,511,575,0,0,1,2623,2626,524,584,
14_00009,14,14__A10440.2.txt,576,638,0,0,1,2518,2546,472,566,
14_00010,14,14__A10440.2.txt,639,703,0,0,1,2523,2521,466,530,
15_00000,15,15__A10438.txt,0,67,0,0,1,2694,2724,532,653,
15_00001,15,15__A10438.txt,68,134,0,0,1,2438,2435,501,595,
15_00002,15,15__A10438.txt,135,202,0,0,1,2495,2474,490,611,
15_00003,15,15__A10438.txt,203,269,0,0,1,2652,2672,499,654,
15_00004,15,15__A10438.txt,270,332,0,0,1,2472,2493,512,640,
15_00005,15,15__A10438.txt,333,388,0,0,1,2332,2364,505,633,
15_00006,15,15__A10438.txt,389,446,0,0,1,2282,2290,476,583,
15_00007,15,15__A10438.txt,447,511,0,0,1,2584,2588,511,598,
15_00008,15,15__A10438.txt,512,570,0,0,1,2401,2428,494,638,
15_00009,15,15__A10438.txt,571,633,0,0,1,2470,2487,490,611,
15_00010,15,15__A10438.txt,634,693,0,0,1,2405,2425,491,587,
15_00011,15,15__A10438.txt,694,749,0,0,1,2295,2299,491,568,
15_00012,15,15__A10438.txt,750,811,0,0,1,2622,2639,515,617,
15_00013,15,15__A10438.txt,812,872,0,0,1,2447,2474,512,638,
15_00014,15,15__A10438.txt,873,932,0,0,1,2465,2458,498,603,
15_00015,15,15__A10438.txt,933,988,0,0,1,2269,2288,468,557,
15_00016,15,15__A10438.txt,989,1052,0,0,1,2560,2585,501,634,
15_00017,15,15__A10438.txt,1053,1115,0,0,1,2536,2543,482,582,
19_00000,19,19__A03175.txt,0,63,0,0,1,2673,2586,518,632,
19_00001,19,19__A03175.txt,64,126,0,0,1,2655,2567,515,615,
19_00002,19,19__A03175.txt,127,189,0,0,1,2647,2583,512,624,
19_00003,19,19__A03175.txt,190,256,0,0,1,2895,2757,520,660,
19_00004,19,19__A03175.txt,257,320,0,0,1,2801,2709,532,647,
19_00005,19,19__A03175.txt,321,386,0,0,1,2872,2806,534,652,
19_00006,19,19__A03175.txt,387,450,0,0,1,2730,2633,530,644,
19_00007,19,19__A03175.txt,451,517,0,0,1,2779,2679,530,609,
19_00008,19,19__A03175.txt,518,580,0,0,1,2649,2565,530,620,
19_00009,19,19__A03175.txt,581,644,0,0,1,2544,2484,521,600,
22_00000,22,22__A03181.txt,0,62,0,0,1,2723,2662,493,592,
22_00001,22,22__A03181.txt,63,125,0,0,1,2630,2556,491,577,
22_00002,22,22__A03181.txt,126,184,0,0,1,2555,2482,484,561,
22_00003,22,22__A03181.txt,185,248,0,0,1,2708,2636,525,685,
22_00004,22,22__A03181.txt,249,308,0,0,1,2597,2523,495,567,
22_00005,22,22__A03181.txt,309,372,0,0,1,2817,2746,554,630,
22_00006,22,22__A03181.txt,373,429,0,0,1,2500,2421,507,581,
22_00007,22,22__A03181.txt,430,487,0,0,1,2453,2390,495,585,
22_00008,22,22__A03181.txt,488,545,0,0,1,2418,2338,490,568,
22_00009,22,22__A03181.txt,546,603,0,0,1,2531,2439,505,562,
22_00010,22,22__A03181.txt,604,662,0,0,1,2573,2499,501,575,
22_00011,22,22__A03181.txt,663,719,0,0,1,2575,2487,509,566,
