chunk_id,edition_id,work_id,deep_id,title,author,year,genre_deep,play_type_deep,tcp,n_nodes_in_chunk,len_B_words
9_00000,9,4,7,The Summoning of Everyman,Anonymous,1534,not in BritDrama,Interlude;Nonprofessional,A00471,71,521
9_00001,9,4,7,The Summoning of Everyman,Anonymous,1534,not in BritDrama,Interlude;Nonprofessional,A00471,68,504
9_00002,9,4,7,The Summoning of Everyman,Anonymous,1534,not in BritDrama,Interlude;Nonprofessional,A00471,66,474
9_00003,9,4,7,The Summoning of Everyman,Anonymous,1534,not in BritDrama,Interlude;Nonprofessional,A00471,64,473
9_00004,9,4,7,The Summoning of Everyman,Anonymous,1534,not in BritDrama,Interlude;Nonprofessional,A00471,57,466
9_00005,9,4,7,The Summoning of Everyman,Anonymous,1534,not in BritDrama,Interlude;Nonprofessional,A00471,66,500
9_00006,9,4,7,The Summoning of Everyman,Anonymous,1534,not in BritDrama,Interlude;Nonprofessional,A00471,61,471
9_00007,9,4,7,The Summoning of Everyman,Anonymous,1534,not in BritDrama,Interlude;Nonprofessional,A00471,63,460
9_00008,9,4,7,The Summoning of Everyman,Anonymous,1534,not in BritDrama,Interlude;Nonprofessional,A00471,64,482
9_00009,9,4,7,The Summoning of Everyman,Anonymous,1534,not in BritDrama,Interlude;Nonprofessional,A00471,62,466
9_00010,9,4,7,The Summoning of Everyman,Anonymous,1534,not in BritDrama,Interlude;Nonprofessional,A00471,69,473
9_00011,9,4,7,The Summoning of Everyman,Anonymous,1534,not in BritDrama,Interlude;Nonprofessional,A00471,69,510
9_00012,9,4,7,The Summoning of Everyman,Anonymous,1534,not in BritDrama,Interlude;Nonprofessional,A00471,71,502
9_00013,9,4,7,The Summoning of Everyman,Anonymous,1534,not in BritDrama,Interlude;Nonprofessional,A00471,70,518
11_00000,11,6,9,The Nature of the Four Elements (Natura Naturata),"Rastell, John",1520,not in BritDrama,Interlude;Nonprofessional,A10439,74,563
11_00001,11,6,9,The Nature of the Four Elements (Natura Naturata),"Rastell, John",1520,not in BritDrama,Interlude;Nonprofessional,A10439,73,568
11_00002,11,6,9,The Nature of the Four Elements (Natura Naturata),"Rastell, John",1520,not in BritDrama,Interlude;Nonprofessional,A10439,70,521
11_00003,11,6,9,The Nature of the Four Elements (Natura Naturata),"Rastell, John",1520,not in BritDrama,Interlude;Nonprofessional,A10439,63,496
11_00004,11,6,9,The Nature of the Four Elements (Natura Naturata),"Rastell, John",1520,not in BritDrama,Interlude;Nonprofessional,A10439,59,489
11_00005,11,6,9,The Nature of the Four Elements (Natura Naturata),"Rastell, John",1520,not in BritDrama,Interlude;Nonprofessional,A10439,60,505
11_00006,11,6,9,The Nature of the Four Elements (Natura Naturata),"Rastell, John",1520,not in BritDrama,Interlude;Nonprofessional,A10439,78,513
11_00007,11,6,9,The Nature of the Four Elements (Natura Naturata),"Rastell, John",1520,not in BritDrama,Interlude;Nonprofessional,A10439,76,491
11_00008,11,6,9,The Nature of the Four Elements (Natura Naturata),"Rastell, John",1520,not in BritDrama,Interlude;Nonprofessional,A10439,75,497
11_00009,11,6,9,The Nature of the Four Elements (Natura Naturata),"Rastell, John",1520,not in BritDrama,Interlude;Nonprofessional,A10439,79,476
11_00010,11,6,9,The Nature of the Four Elements (Natura Naturata),"Rastell, John",1520,not in BritDrama,Interlude;Nonprofessional,A10439,87,532
11_00011,11,6,9,The Nature of the Four Elements (Natura Naturata),"Rastell, John",1520,not in BritDrama,Interlude;Nonprofessional,A10439,84,535
11_00012,11,6,9,The Nature of the Four Elements (Natura Naturata),"Rastell, John",1520,not in BritDrama,Interlude;Nonprofessional,A10439,73,487
11_00013,11,6,9,The Nature of the Four Elements (Natura Naturata),"Rastell, John",1520,not in BritDrama,Interlude;Nonprofessional,A10439,72,488
11_00014,11,6,9,The Nature of the Four Elements (Natura Naturata),"Rastell, John",1520,not in BritDrama,Interlude;Nonprofessional,A10439,73,475
11_00015,11,6,9,The Nature of the Four Elements (Natura Naturata),"Rastell, John",1520,not in BritDrama,Interlude;Nonprofessional,A10439,75,490
11_00016,11,6,9,The Nature of the Four Elements (Natura Naturata),"Rastell, John",1520,not in BritDrama,Interlude;Nonprofessional,A10439,73,473
11_00017,11,6,9,The Nature of the Four Elements (Natura Naturata),"Rastell, John",1520,not in BritDrama,Interlude;Nonprofessional,A10439,73,484
11_00018,11,6,9,The Nature of the Four Elements (Natura Naturata),"Rastell, John",1520,not in BritDrama,Interlude;Nonprofessional,A10439,74,487
13_00000,13,8,5001.01,1 Gentleness and Nobility,"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10440,75,565
13_00001,13,8,5001.01,1 Gentleness and Nobility,"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10440,70,526
13_00002,13,8,5001.01,1 Gentleness and Nobility,"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10440,75,553
13_00003,13,8,5001.01,1 Gentleness and Nobility,"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10440,64,516
13_00004,13,8,5001.01,1 Gentleness and Nobility,"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10440,68,541
13_00005,13,8,5001.01,1 Gentleness and Nobility,"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10440,62,491
13_00006,13,8,5001.01,1 Gentleness and Nobility,"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10440,56,472
14_00000,14,9,5001.02,2 Gentleness and Nobility,"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10440,70,528
14_00001,14,9,5001.02,2 Gentleness and Nobility,"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10440,73,529
14_00002,14,9,5001.02,2 Gentleness and Nobility,"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10440,61,473
14_00003,14,9,5001.02,2 Gentleness and Nobility,"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10440,62,507
14_00004,14,9,5001.02,2 Gentleness and Nobility,"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10440,64,502
14_00005,14,9,5001.02,2 Gentleness and Nobility,"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10440,60,454
14_00006,14,9,5001.02,2 Gentleness and Nobility,"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10440,64,476
14_00007,14,9,5001.02,2 Gentleness and Nobility,"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10440,57,463
14_00008,14,9,5001.02,2 Gentleness and Nobility,"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10440,65,524
14_00009,14,9,5001.02,2 Gentleness and Nobility,"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10440,63,472
14_00010,14,9,5001.02,2 Gentleness and Nobility,"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10440,65,466
15_00000,15,10,11,The Beauty and Good Properties of Women (Calisto and Melebea) (Celestina),"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10438,68,532
15_00001,15,10,11,The Beauty and Good Properties of Women (Calisto and Melebea) (Celestina),"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10438,67,501
15_00002,15,10,11,The Beauty and Good Properties of Women (Calisto and Melebea) (Celestina),"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10438,68,490
15_00003,15,10,11,The Beauty and Good Properties of Women (Calisto and Melebea) (Celestina),"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10438,67,499
15_00004,15,10,11,The Beauty and Good Properties of Women (Calisto and Melebea) (Celestina),"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10438,63,512
15_00005,15,10,11,The Beauty and Good Properties of Women (Calisto and Melebea) (Celestina),"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10438,56,505
15_00006,15,10,11,The Beauty and Good Properties of Women (Calisto and Melebea) (Celestina),"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10438,58,476
15_00007,15,10,11,The Beauty and Good Properties of Women (Calisto and Melebea) (Celestina),"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10438,65,511
15_00008,15,10,11,The Beauty and Good Properties of Women (Calisto and Melebea) (Celestina),"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10438,59,494
15_00009,15,10,11,The Beauty and Good Properties of Women (Calisto and Melebea) (Celestina),"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10438,63,490
15_00010,15,10,11,The Beauty and Good Properties of Women (Calisto and Melebea) (Celestina),"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10438,60,491
15_00011,15,10,11,The Beauty and Good Properties of Women (Calisto and Melebea) (Celestina),"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10438,56,491
15_00012,15,10,11,The Beauty and Good Properties of Women (Calisto and Melebea) (Celestina),"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10438,62,515
15_00013,15,10,11,The Beauty and Good Properties of Women (Calisto and Melebea) (Celestina),"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10438,61,512
15_00014,15,10,11,The Beauty and Good Properties of Women (Calisto and Melebea) (Celestina),"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10438,60,498
15_00015,15,10,11,The Beauty and Good Properties of Women (Calisto and Melebea) (Celestina),"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10438,56,468
15_00016,15,10,11,The Beauty and Good Properties of Women (Calisto and Melebea) (Celestina),"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10438,64,501
15_00017,15,10,11,The Beauty and Good Properties of Women (Calisto and Melebea) (Celestina),"Rastell, John",1525,not in BritDrama,Interlude;Nonprofessional,A10438,63,482
19_00000,19,14,15,"The Pardoner and the Friar, the Curate, and Neighbor Pratte","Heywood, John",1533,not in BritDrama,Interlude;Nonprofessional,A03175,64,518
19_00001,19,14,15,"The Pardoner and the Friar, the Curate, and Neighbor Pratte","Heywood, John",1533,not in BritDrama,Interlude;Nonprofessional,A03175,63,515
19_00002,19,14,15,"The Pardoner and the Friar, the Curate, and Neighbor Pratte","Heywood, John",1533,not in BritDrama,Interlude;Nonprofessional,A03175,63,512
19_00003,19,14,15,"The Pardoner and the Friar, the Curate, and Neighbor Pratte","Heywood, John",1533,not in BritDrama,Interlude;Nonprofessional,A03175,67,520
19_00004,19,14,15,"The Pardoner and the Friar, the Curate, and Neighbor Pratte","Heywood, John",1533,not in BritDrama,Interlude;Nonprofessional,A03175,64,532
19_00005,19,14,15,"The Pardoner and the Friar, the Curate, and Neighbor Pratte","Heywood, John",1533,not in BritDrama,Interlude;Nonprofessional,A03175,66,534
19_00006,19,14,15,"The Pardoner and the Friar, the Curate, and Neighbor Pratte","Heywood, John",1533,not in BritDrama,Interlude;Nonprofessional,A03175,64,530
19_00007,19,14,15,"The Pardoner and the Friar, the Curate, and Neighbor Pratte","Heywood, John",1533,not in BritDrama,Interlude;Nonprofessional,A03175,67,530
19_00008,19,14,15,"The Pardoner and the Friar, the Curate, and Neighbor Pratte","Heywood, John",1533,not in BritDrama,Interlude;Nonprofessional,A03175,63,530
19_00009,19,14,15,"The Pardoner and the Friar, the Curate, and Neighbor Pratte","Heywood, John",1533,not in BritDrama,Interlude;Nonprofessional,A03175,64,521
22_00000,22,15,18,The Play of the Weather,"Heywood, John",1544,comedy,Interlude;Nonprofessional,A03181,63,493
22_00001,22,15,18,The Play of the Weather,"Heywood, John",1544,comedy,Interlude;Nonprofessional,A03181,63,491
22_00002,22,15,18,The Play of the Weather,"Heywood, John",1544,comedy,Interlude;Nonprofessional,A03181,59,484
22_00003,22,15,18,The Play of the Weather,"Heywood, John",1544,comedy,Interlude;Nonprofessional,A03181,64,525
22_00004,22,15,18,The Play of the Weather,"Heywood, John",1544,comedy,Interlude;Nonprofessional,A03181,60,495
22_00005,22,15,18,The Play of the Weather,"Heywood, John",1544,comedy,Interlude;Nonprofessional,A03181,64,554
22_00006,22,15,18,The Play of the Weather,"Heywood, John",1544,comedy,Interlude;Nonprofessional,A03181,57,507
22_00007,22,15,18,The Play of the Weather,"Heywood, John",1544,comedy,Interlude;Nonprofessional,A03181,58,495
22_00008,22,15,18,The Play of the Weather,"Heywood, John",1544,comedy,Interlude;Nonprofessional,A03181,58,490
22_00009,22,15,18,The Play of the Weather,"Heywood, John",1544,comedy,Interlude;Nonprofessional,A03181,58,505
22_00010,22,15,18,The Play of the Weather,"Heywood, John",1544,comedy,Interlude;Nonprofessional,A03181,59,501
22_00011,22,15,18,The Play of the Weather,"Heywood, John",1544,comedy,Interlude;Nonprofessional,A03181,57,509
22_00012,22,15,18,The Play of the Weather,"Heywood, John",1544,comedy,Interlude;Nonprofessional,A03181,58,504
22_00013,22,15,18,The Play of the Weather,"Heywood, John",1544,comedy,Interlude;Nonprofessional,A03181,57,513
22_00014,22,15,18,The Play of the Weather,"Heywood, John",1544,comedy,Interlude;Nonprofessional,A03181,58,513
22_00015,22,15,18,The Play of the Weather,"Heywood, John",1544,comedy,Interlude;Nonprofessional,A03181,60,509
22_00016,22,15,18,The Play of the Weather,"Heywood, John",1544,comedy,Interlude;Nonprofessional,A03181,58,502
22_00017,22,15,18,The Play of the Weather,"Heywood, John",1544,comedy,Interlude;Nonprofessional,A03181,60,486
22_00018,22,15,18,The Play of the Weather,"Heywood, John",1544,comedy,Interlude;Nonprofessional,A03181,55,486
22_00019,22,15,18,The Play of the Weather,"Heywood, John",1544,comedy,Interlude;Nonprofessional,A03181,60,479
22_00020,22,15,18,The Play of the Weather,"Heywood, John",1544,comedy,Interlude;Nonprofessional,A03181,56,481
25_00000,25,16,21,A Play of Love,"Heywood, John",1534,not in BritDrama,University/Inns of Court;Nonprofessional,A03179,63,514
25_00001,25,16,21,A Play of Love,"Heywood, John",1534,not in BritDrama,University/Inns of Court;Nonprofessional,A03179,63,512
25_00002,25,16,21,A Play of Love,"Heywood, John",1534,not in BritDrama,University/Inns of Court;Nonprofessional,A03179,56,474
25_00003,25,16,21,A Play of Love,"Heywood, John",1534,not in BritDrama,University/Inns of Court;Nonprofessional,A03179,61,518
25_00004,25,16,21,A Play of Love,"Heywood, John",1534,not in BritDrama,University/Inns of Court;Nonprofessional,A03179,62,501
25_00005,25,16,21,A Play of Love,"Heywood, John",1534,not in BritDrama,University/Inns of Court;Nonprofessional,A03179,66,508
25_00006,25,16,21,A Play of Love,"Heywood, John",1534,not in BritDrama,University/Inns of Court;Nonprofessional,A03179,72,511
25_00007,25,16,21,A Play of Love,"Heywood, John",1534,not in BritDrama,University/Inns of Court;Nonprofessional,A03179,75,514
25_00008,25,16,21,A Play of Love,"Heywood, John",1534,not in BritDrama,University/Inns of Court;Nonprofessional,A03179,60,512
25_00009,25,16,21,A Play of Love,"Heywood, John",1534,not in BritDrama,University/Inns of Court;Nonprofessional,A03179,67,513
25_00010,25,16,21,A Play of Love,"Heywood, John",1534,not in BritDrama,University/Inns of Court;Nonprofessional,A03179,62,510
25_00011,25,16,21,A Play of Love,"Heywood, John",1534,not in BritDrama,University/Inns of Court;Nonprofessional,A03179,61,506
25_00012,25,16,21,A Play of Love,"Heywood, John",1534,not in BritDrama,University/Inns of Court;Nonprofessional,A03179,61,512
25_00013,25,16,21,A Play of Love,"Heywood, John",1534,not in BritDrama,University/Inns of Court;Nonprofessional,A03179,54,481
25_00014,25,16,21,A Play of Love,"Heywood, John",1534,not in BritDrama,University/Inns of Court;Nonprofessional,A03179,57,485
25_00015,25,16,21,A Play of Love,"Heywood, John",1534,not in BritDrama,University/Inns of Court;Nonprofessional,A03179,57,503
25_00016,25,16,21,A Play of Love,"Heywood, John",1534,not in BritDrama,University/Inns of Court;Nonprofessional,A03179,58,496
25_00017,25,16,21,A Play of Love,"Heywood, John",1534,not in BritDrama,University/Inns of Court;Nonprofessional,A03179,63,476
25_00018,25,16,21,A Play of Love,"Heywood, John",1534,not in BritDrama,University/Inns of Court;Nonprofessional,A03179,63,487
25_00019,25,16,21,A Play of Love,"Heywood, John",1534,not in BritDrama,University/Inns of Court;Nonprofessional,A03179,58,503
25_00020,25,16,21,A Play of Love,"Heywood, John",1534,not in BritDrama,University/Inns of Court;Nonprofessional,A03179,56,453
25_00021,25,16,21,A Play of Love,"Heywood, John",1534,not in BritDrama,University/Inns of Court;Nonprofessional,A03179,56,451
25_00022,25,16,21,A Play of Love,"Heywood, John",1534,not in BritDrama,University/Inns of Court;Nonprofessional,A03179,56,498
25_00023,25,16,21,A Play of Love,"Heywood, John",1534,not in BritDrama,University/Inns of Court;Nonprofessional,A03179,62,519
25_00024,25,16,21,A Play of Love,"Heywood, John",1534,not in BritDrama,University/Inns of Court;Nonprofessional,A03179,64,521
