edition_id,work_id,title,matched,kim_tcp,n_cast_tokens,n_variant_tokens,n_override_tokens,tokens_masked,words,top_masked
9,4,The Summoning of Everyman,exact,A00471,24,0,0,2,6781,strength 2
11,6,The Nature of the Four Elements (Natura Naturata),exact,A10439,25,0,0,5,9589,taverner 2; humanyte 1; sensual 1; yngnorans 1
13,8,1 Gentleness and Nobility,base,A10440.1; A10440.2,5,0,0,0,3581,
14,9,2 Gentleness and Nobility,base,A10440.1; A10440.2,5,0,0,0,5278,
15,10,The Beauty and Good Properties of Women (Calisto and Melebea,exact,A10438,7,0,0,52,8868,sempronio 26; calisto 10; melebea 8; celestina 4; parmeno 4
19,14,"The Pardoner and the Friar, the Curate, and Neighbor Pratte",exact,A03175,6,0,0,25,5222,frere 12; pardoner 7; prat 6
22,15,The Play of the Weather,exact,A03181,21,0,0,18,10516,iupyter 12; merry 3; launder 1; dick 1; ranger 1
25,16,A Play of Love,exact,A03179,11,0,0,5,12958,loving 4; loved 1
27,17,1 Nature,base,A07395.1; A07395.2,26,0,0,8,10209,worldly 4; shamefastness 4
28,18,2 Nature,base,A07395.1; A07395.2,26,0,0,5,8260,sensua 2; bodily 2; worldly 1
32,20,The Interlude of Youth,exact,A04054,12,0,0,16,5013,riot 12; humility 3; lechery 1
33,21,The Four P's,exact,A03177,4,0,0,8,9015,pardoner 8
37,22,The Chief Promises of God unto Man (God's Promises),exact,A02906,24,0,0,46,8460,adam 14; abraham 10; moses 7; noah 6; david 5; baptist 2
39,23,"The Temptation of Our Lord and Saviour, Jesus Christ, by Sat",exact,A02658,8,0,0,8,4027,satan 8
40,24,"The Three Laws of Nature, Moses, and Christ, Corrupted by th",exact,A02738,49,1,0,35,14896,moses 16; christian 4; sodom 4; law 3; idolatry 3; deus 2
41,24,"The Three Laws of Nature, Moses, and Christ, Corrupted by th",exact,A02749,49,2,0,39,14700,christian 13; moses 11; sodom 4; infidelitatem 3; deus 2; doctrine 2
45,27,Wealth and Health,exact,A04052,19,0,0,12,7689,remedi 4; helth 2; hauce 2; hance 1; liberti 1; remedy 1
49,28,Troas (Seneca's Sixth Tragedy),exact,A11909.6,11,2,0,77,13829,ulysses 22; pyrrhus 20; calchas 10; hecuba 6; helen 5; andromacha 5
50,29,Thyestes (Seneca's Second Tragedy),exact,A11914,10,0,0,24,12314,tantalus 10; atreus 10; thyestes 4
51,29,Thyestes (Seneca's Second Tragedy),exact,A11909.2,10,0,0,27,12264,atreus 11; tantalus 10; thyestes 5; megaera 1
53,30,Impatient Poverty,exact,A04055,18,0,0,5,7121,misrule 5
54,31,Nice Wanton,exact,A14713,25,1,0,26,4695,dalila 15; ishmael 6; xantippe 3; barnabas 2
57,32,Robin Hood (Robin Hood and the Friar) (Robin Hood and the Po,base,A03571.1,11,0,0,18,1456,potter 7; robin 6; iohn 3; tuck 1; little 1
59,34,Hercules Furens (Mad Hercules) (Seneca's First Tragedy),exact,A11911,5,0,0,23,14038,lycus 10; theseus 9; megara 4
60,34,Hercules Furens (Mad Hercules) (Seneca's First Tragedy),exact,A11909.1,5,0,0,21,14015,lycus 9; theseus 8; megara 4
65,36,Oedipus (Seneca's Fifth Tragedy),exact,A11909.5,7,0,0,17,12814,creon 6; oedipus 6; manto 3; tiresias 1; phorbas 1
66,37,Thersites,exact,A13664,5,0,0,24,7164,mulciber 11; telemachus 7; thersites 6
67,38,Albion Knight,exact,A15979,8,0,0,10,2982,albion 7; injury 3
68,39,Ferrex and Porrex (Gorboduc),exact,A08360,33,0,0,45,14404,porrex 20; ferrex 14; eubulus 5; philander 2; tyndar 1; gorboduc 1
69,39,Ferrex and Porrex (Gorboduc),exact,A08361,33,0,0,45,14378,porrex 20; ferrex 15; eubulus 5; philander 2; tyndar 1; gorboduc 1
74,41,Lusty Juventus,exact,A14846,32,0,0,5,9181,juventus 3; abominable 2
76,42,Agamemnon (Seneca's Eighth Tragedy),exact,A11910,17,0,0,31,13764,agamemnon 10; thyestes 6; aegisthus 6; cassandra 4; electra 2; eurybates 1
77,42,Agamemnon (Seneca's Eighth Tragedy),exact,A11909.8,17,0,0,30,13719,agamemnon 10; thyestes 5; aegist 4; cassandra 4; aegisthus 3; electra 2
79,44,Medea (Seneca's Seventh Tragedy),exact,A11912,4,1,0,68,15338,iason 28; medea 20; creon 20
80,44,Medea (Seneca's Seventh Tragedy),exact,A11909.7,4,1,0,69,15210,iason 28; medea 20; creon 20; jason 1
81,45,Octavia (Seneca's Ninth Tragedy),exact,A11917,13,0,0,27,11505,nero 20; octavia 7
