genre_main,n_works,n_works_with_selected_text,t0 cond. mean,t1 cond. mean,t2 cond. mean,t3 cond. mean,t4 cond. mean,t5 cond. mean,t6 cond. mean,t7 cond. mean,t8 cond. mean,t9 cond. mean,t10 cond. mean,t11 cond. mean,t12 cond. mean,t14 cond. mean,t15 cond. mean,t16 cond. mean,t17 cond. mean,t18 cond. mean,t20 cond. mean,t21 cond. mean,t22 cond. mean,t23 cond. mean,t24 cond. mean,t25 cond. mean,t26 cond. mean,t27 cond. mean,t28 cond. mean,t30 cond. mean,t31 cond. mean,t32 cond. mean,t33 cond. mean,t34 cond. mean,t35 cond. mean,t36 cond. mean,t37 cond. mean,t38 cond. mean,t39 cond. mean,t40 cond. mean,t43 cond. mean,t44 cond. mean,t45 cond. mean,t46 cond. mean,t47 cond. mean,t49 cond. mean,t50 cond. mean,t51 cond. mean,t52 cond. mean,t54 cond. mean,t55 cond. mean,t56 cond. mean,t59 cond. mean,t60 cond. mean,t62 cond. mean
comedy,151,151,0.10148,0.05964,0.00538,0.06312,0.06213,0.0064,0.05539,0.00649,0.04641,0.03735,0.00223,0.03946,0.00462,0.0071,0.01751,0.04394,0.00254,0.00445,0.00561,0.02136,0.01114,0.0288,0.01785,0.00075,0.02469,0.03776,0.03757,0.0198,0.00051,0.01828,0.03691,0.00195,0.0211,0.00019,0.00346,0.00069,0.00252,0.00693,0.0,0.02342,0.01948,0.01369,0.0148,0.01995,0.00347,0.00972,0.01293,0.00249,0.00432,0.00498,0.00104,0.0,0.00623
tragedy,111,111,0.07849,0.20319,0.11365,0.01898,0.027,0.01649,0.01382,0.04173,0.00694,0.01099,0.01718,0.021,0.00619,0.01661,0.01663,0.00568,0.04837,0.00883,0.01813,0.00568,0.00364,0.01261,0.00595,0.04108,0.00649,0.00331,0.00587,0.00312,0.01023,0.00489,0.00227,0.02906,0.00437,0.03221,0.0029,0.02005,0.00435,0.01836,0.0,0.00237,0.00211,0.00338,0.00259,0.00209,0.01002,0.00417,0.00613,0.01708,0.00053,0.008,0.02134,0.01306,0.00076
history,34,33,0.08592,0.06796,0.01766,0.00863,0.00153,0.03246,0.05628,0.0115,0.00625,0.0,0.1339,0.01672,0.00251,0.03842,0.02892,0.00639,0.0,0.18064,0.0,0.0,0.0,0.0,0.0,0.00461,0.0015,0.00269,0.0,0.01221,0.07504,0.00997,0.0,0.0,0.0,0.00175,0.0,0.04726,0.00258,0.00529,0.0829,0.00312,0.00336,0.0,0.01062,0.0,0.01221,0.01176,0.00696,0.0,0.0052,0.00528,0.0,0.0,0.0
tragicomedy,29,29,0.11592,0.21706,0.01578,0.05346,0.03864,0.01222,0.02948,0.00174,0.00602,0.03383,0.0,0.04773,0.00175,0.09874,0.01386,0.01849,0.00507,0.0,0.00321,0.00371,0.0,0.02263,0.01562,0.00999,0.0043,0.0,0.01269,0.00108,0.0,0.02536,0.00697,0.0033,0.0,0.00413,0.00291,0.00877,0.0,0.00832,0.0,0.00689,0.0,0.02715,0.0011,0.00816,0.04165,0.00896,0.00381,0.0,0.0,0.0,0.03026,0.00162,0.02763
moral,28,27,0.00689,0.0482,0.0,0.0208,0.00884,0.26495,0.05453,0.0058,0.0,0.03125,0.0,0.0,0.022,0.0,0.0,0.04953,0.0,0.0,0.01234,0.0023,0.0,0.00787,0.0166,0.0,0.02717,0.00147,0.03206,0.00156,0.0063,0.0,0.01891,0.0,0.01307,0.00232,0.14193,0.0,0.07144,0.00246,0.0,0.01454,0.0,0.01258,0.06818,0.0,0.0,0.03174,0.0,0.0,0.0,0.0,0.0,0.0,0.00237
romance,18,18,0.02888,0.0796,0.03494,0.08309,0.05134,0.0082,0.01506,0.05106,0.0445,0.0113,0.03292,0.00919,0.0143,0.08085,0.02136,0.0029,0.09223,0.07005,0.0,0.00099,0.05059,0.00888,0.0,0.00324,0.00097,0.0,0.0,0.0092,0.0,0.01162,0.00867,0.00104,0.00755,0.00574,0.00912,0.02441,0.0,0.0,0.0,0.02609,0.0,0.0,0.00629,0.00266,0.02441,0.00366,0.00278,0.0,0.0,0.02846,0.01166,0.01707,0.00309
pastoral,15,15,0.0,0.1015,0.0,0.10749,0.34764,0.0,0.0,0.01301,0.0,0.01389,0.0,0.01443,0.03305,0.0055,0.0,0.0,0.0,0.0,0.01084,0.13926,0.13955,0.0,0.01387,0.0,0.0,0.0,0.0077,0.0,0.0,0.0,0.00948,0.0,0.00359,0.00466,0.00288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0184,0.01325,0.0,0.0,0.0
masque,38,29,0.0,0.0,0.0,0.06651,0.04667,0.01418,0.00556,0.03448,0.01448,0.01157,0.0,0.0,0.40006,0.0,0.0,0.01496,0.0,0.0,0.03448,0.06691,0.03448,0.0,0.10971,0.0,0.02938,0.0,0.0,0.00838,0.0,0.0,0.0,0.0,0.00842,0.0,0.0,0.0,0.01089,0.01146,0.0,0.01126,0.0,0.0,0.0,0.0,0.00595,0.0,0.01717,0.0,0.0,0.04303,0.0,0.0,0.0
interlude,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other/multi,91,47,0.02845,0.03972,0.01056,0.01865,0.0829,0.14565,0.01421,0.02128,0.0,0.00538,0.01239,0.01128,0.19656,0.06684,0.01066,0.0,0.0,0.01061,0.01582,0.02401,0.06639,0.00349,0.01613,0.0,0.0133,0.00178,0.00733,0.0,0.0,0.0,0.0,0.0,0.00191,0.0,0.01487,0.03639,0.00271,0.00154,0.0,0.0,0.0,0.0292,0.0064,0.00627,0.00727,0.0184,0.0,0.00083,0.02593,0.01257,0.0,0.01232,0.0
