genre_main,n_works,n_editions,t0 mean,t0 median,t0 works>0,t1 mean,t1 median,t1 works>0,t2 mean,t2 median,t2 works>0,t3 mean,t3 median,t3 works>0,t4 mean,t4 median,t4 works>0,t5 mean,t5 median,t5 works>0,t6 mean,t6 median,t6 works>0,t7 mean,t7 median,t7 works>0,t8 mean,t8 median,t8 works>0,t9 mean,t9 median,t9 works>0,t10 mean,t10 median,t10 works>0,t11 mean,t11 median,t11 works>0,t12 mean,t12 median,t12 works>0,t13 mean,t13 median,t13 works>0,t14 mean,t14 median,t14 works>0,t15 mean,t15 median,t15 works>0,t16 mean,t16 median,t16 works>0,t17 mean,t17 median,t17 works>0,t18 mean,t18 median,t18 works>0,t19 mean,t19 median,t19 works>0,t20 mean,t20 median,t20 works>0,t21 mean,t21 median,t21 works>0,t22 mean,t22 median,t22 works>0,t23 mean,t23 median,t23 works>0,t24 mean,t24 median,t24 works>0,t25 mean,t25 median,t25 works>0,t26 mean,t26 median,t26 works>0,t27 mean,t27 median,t27 works>0,t28 mean,t28 median,t28 works>0,t29 mean,t29 median,t29 works>0,t30 mean,t30 median,t30 works>0,t31 mean,t31 median,t31 works>0,t32 mean,t32 median,t32 works>0,t33 mean,t33 median,t33 works>0,t34 mean,t34 median,t34 works>0,t35 mean,t35 median,t35 works>0,t36 mean,t36 median,t36 works>0,t37 mean,t37 median,t37 works>0,t38 mean,t38 median,t38 works>0,t39 mean,t39 median,t39 works>0,t40 mean,t40 median,t40 works>0,t41 mean,t41 median,t41 works>0,t42 mean,t42 median,t42 works>0,t43 mean,t43 median,t43 works>0,t44 mean,t44 median,t44 works>0,t45 mean,t45 median,t45 works>0,t46 mean,t46 median,t46 works>0,t47 mean,t47 median,t47 works>0,t48 mean,t48 median,t48 works>0,t49 mean,t49 median,t49 works>0,t50 mean,t50 median,t50 works>0,t51 mean,t51 median,t51 works>0,t52 mean,t52 median,t52 works>0,t53 mean,t53 median,t53 works>0,t54 mean,t54 median,t54 works>0,t55 mean,t55 median,t55 works>0,t56 mean,t56 median,t56 works>0,t57 mean,t57 median,t57 works>0,t58 mean,t58 median,t58 works>0,t59 mean,t59 median,t59 works>0,t60 mean,t60 median,t60 works>0,t61 mean,t61 median,t61 works>0,t62 mean,t62 median,t62 works>0
comedy,151,151,0.04695,0.0,47,0.01752,0.0,45,0.00185,0.0,7,0.02454,0.0,43,0.01822,0.0,46,0.00168,0.0,8,0.0181,0.0,46,0.00235,0.0,6,0.01723,0.0,27,0.0129,0.0,42,0.00017,0.0,1,0.01211,0.0,40,0.00188,0.0,4,0.01406,0.0,37,0.00279,0.0,12,0.00695,0.0,9,0.01375,0.0,40,0.00074,0.0,3,0.00026,0.0,1,0.00128,0.0,7,0.00185,0.0,5,0.00809,0.0,18,0.00456,0.0,10,0.00953,0.0,28,0.00962,0.0,12,0.00037,0.0,2,0.00883,0.0,22,0.01226,0.0,37,0.01062,0.0,33,0.00543,0.0,1,0.00858,0.0,14,0.00013,0.0,1,0.00567,0.0,20,0.00923,0.0,29,0.00054,0.0,1,0.007,0.0,29,0.00015,0.0,1,0.00108,0.0,5,0.00019,0.0,1,0.00074,0.0,3,0.00241,0.0,10,0.00581,0.0,27,0.0006,0.0,4,0.0,0.0,0,0.00607,0.0,23,0.008,0.0,14,0.00367,0.0,17,0.00391,0.0,14,0.00269,0.0,14,0.00561,0.0,23,0.00089,0.0,3,0.00247,0.0,11,0.00418,0.0,13,0.00048,0.0,3,0.00068,0.0,3,0.00126,0.0,3,0.00157,0.0,6,0.00349,0.0,10,0.00417,0.0,13,0.00036,0.0,1,0.0,0.0,0,0.00571,0.0,3,0.00239,0.0,8
tragedy,111,111,0.04346,0.0,21,0.06728,0.05159,80,0.06393,0.0,27,0.0076,0.0,19,0.00873,0.0,24,0.0034,0.0,9,0.00387,0.0,9,0.02648,0.0,14,0.00196,0.0,6,0.00323,0.0,11,0.00697,0.0,8,0.00758,0.0,17,0.00239,0.0,6,0.00106,0.0,3,0.00581,0.0,15,0.0045,0.0,8,0.00149,0.0,4,0.024,0.0,12,0.00202,0.0,7,0.00302,0.0,14,0.01295,0.0,6,0.00175,0.0,6,0.00129,0.0,5,0.00495,0.0,14,0.00221,0.0,6,0.01499,0.0,20,0.00314,0.0,10,0.00156,0.0,4,0.00197,0.0,7,0.00174,0.0,2,0.00024,0.0,1,0.00313,0.0,4,0.00118,0.0,5,0.00092,0.0,4,0.01325,0.0,12,0.00178,0.0,5,0.01295,0.0,21,0.00076,0.0,4,0.00481,0.0,14,0.00137,0.0,2,0.00705,0.0,18,0.00165,0.0,5,0.00097,0.0,1,0.0,0.0,0,0.00111,0.0,5,0.00074,0.0,3,0.00108,0.0,5,0.00103,0.0,5,0.00286,0.0,8,0.00096,0.0,3,0.00328,0.0,12,0.00119,0.0,5,0.00261,0.0,5,0.00286,0.0,11,0.00916,0.0,8,0.00018,0.0,1,0.00296,0.0,5,0.00185,0.0,5,0.0,0.0,0,0.01103,0.0,8,0.00573,0.0,10,0.0,0.0,0,0.00033,0.0,2
history,34,34,0.02949,0.0,9,0.02239,0.01057,17,0.00619,0.0,2,0.00246,0.0,3,0.00073,0.0,1,0.02128,0.0,2,0.01099,0.0,5,0.00405,0.0,2,0.00178,0.0,3,0.0,0.0,0,0.06511,0.0,12,0.00196,0.0,2,0.00087,0.0,1,0.00441,0.0,3,0.01264,0.0,7,0.01575,0.0,4,0.00191,0.0,2,0.0,0.0,0,0.072,0.0,14,0.0012,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.00093,0.0,1,0.00049,0.0,1,0.00066,0.0,1,0.0,0.0,0,0.00697,0.0,4,0.0038,0.0,2,0.03331,0.0,7,0.00256,0.0,3,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.00065,0.0,1,0.0,0.0,0,0.01542,0.0,12,0.0012,0.0,1,0.00209,0.0,3,0.0032,0.0,3,0.01512,0.0,4,0.0307,0.0,12,0.00065,0.0,1,0.00125,0.0,1,0.0,0.0,0,0.00245,0.0,2,0.00077,0.0,1,0.0,0.0,0,0.00254,0.0,4,0.00133,0.0,1,0.00164,0.0,2,0.00677,0.0,5,0.0,0.0,0,0.00188,0.0,1,0.00191,0.0,1,0.0,0.0,0,0.00242,0.0,3,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
tragicomedy,29,29,0.06169,0.0,13,0.07946,0.05494,21,0.00354,0.0,4,0.01943,0.0,7,0.01158,0.0,7,0.00532,0.0,3,0.00679,0.0,4,0.00072,0.0,1,0.00211,0.0,2,0.00943,0.0,10,0.0,0.0,0,0.01659,0.0,10,0.00072,0.0,1,0.00071,0.0,1,0.03039,0.0,10,0.01031,0.0,1,0.00585,0.0,6,0.00125,0.0,1,0.0,0.0,0,0.00077,0.0,1,0.00097,0.0,1,0.00093,0.0,1,0.0,0.0,0,0.00426,0.0,4,0.0039,0.0,1,0.00247,0.0,1,0.00165,0.0,2,0.0,0.0,0,0.004,0.0,4,0.0,0.0,0,0.0008,0.0,1,0.0,0.0,0,0.00934,0.0,2,0.00089,0.0,1,0.00136,0.0,1,0.0,0.0,0,0.00155,0.0,2,0.00134,0.0,1,0.00282,0.0,2,0.0,0.0,0,0.00489,0.0,2,0.00244,0.0,1,0.0,0.0,0,0.0,0.0,0,0.002,0.0,2,0.0,0.0,0,0.00744,0.0,6,0.00082,0.0,1,0.00586,0.0,5,0.00254,0.0,3,0.01324,0.0,6,0.00256,0.0,3,0.00171,0.0,2,0.00158,0.0,2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.00177,0.0,1,0.0,0.0,0,0.00538,0.0,3,0.00078,0.0,1,0.0,0.0,0,0.00864,0.0,5
moral,28,28,0.00443,0.0,1,0.01632,0.0,6,0.0,0.0,0,0.00507,0.0,4,0.00234,0.0,2,0.15549,0.0,13,0.02111,0.0,7,0.00159,0.0,2,0.0,0.0,0,0.01112,0.0,4,0.0,0.0,0,0.0,0.0,0,0.01311,0.0,2,0.00268,0.0,2,0.0,0.0,0,0.0,0.0,0,0.00708,0.0,4,0.0,0.0,0,0.0,0.0,0,0.02928,0.0,6,0.00211,0.0,1,0.00148,0.0,1,0.0,0.0,0,0.00183,0.0,2,0.00266,0.0,2,0.0,0.0,0,0.01114,0.0,6,0.00093,0.0,1,0.00826,0.0,4,0.0,0.0,0,0.00099,0.0,1,0.00555,0.0,2,0.0,0.0,0,0.00399,0.0,3,0.0,0.0,0,0.00477,0.0,3,0.00149,0.0,1,0.0646,0.0,9,0.0,0.0,0,0.04086,0.0,5,0.00123,0.0,1,0.00069,0.0,1,0.0,0.0,0,0.0,0.0,0,0.00481,0.0,3,0.0,0.0,0,0.0016,0.0,1,0.02686,0.0,7,0.00323,0.0,1,0.0,0.0,0,0.0,0.0,0,0.01051,0.0,3,0.0,0.0,0,0.00483,0.0,3,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.00337,0.0,3,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.00152,0.0,1
romance,18,18,0.0096,0.0,2,0.01775,0.0,8,0.00811,0.0,2,0.0164,0.0,6,0.02244,0.0,5,0.00144,0.0,1,0.0032,0.0,3,0.00402,0.0,3,0.01047,0.0,4,0.00266,0.0,3,0.01141,0.0,3,0.00233,0.0,2,0.00346,0.0,3,0.00779,0.0,4,0.01839,0.0,4,0.00535,0.0,2,0.00154,0.0,1,0.02268,0.0,4,0.00984,0.0,2,0.01655,0.0,3,0.0,0.0,0,0.00028,0.0,1,0.02326,0.0,2,0.00275,0.0,2,0.0,0.0,0,0.00114,0.0,1,0.00027,0.0,1,0.0,0.0,0,0.0,0.0,0,0.00506,0.0,1,0.00487,0.0,1,0.0,0.0,0,0.00409,0.0,1,0.00194,0.0,2,0.0003,0.0,1,0.00151,0.0,2,0.00261,0.0,1,0.00199,0.0,2,0.00553,0.0,3,0.0,0.0,0,0.0,0.0,0,0.0015,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0051,0.0,2,0.0,0.0,0,0.0,0.0,0,0.00131,0.0,2,0.00684,0.0,5,0.00075,0.0,1,0.00412,0.0,2,0.00104,0.0,1,0.00079,0.0,1,0.00581,0.0,2,0.0,0.0,0,0.0,0.0,0,0.00154,0.0,2,0.00129,0.0,1,0.0,0.0,0,0.00265,0.0,1,0.00459,0.0,2,0.0,0.0,0,0.00164,0.0,1
pastoral,15,15,0.0,0.0,0,0.03776,0.0236,8,0.0,0.0,0,0.04408,0.0,6,0.12367,0.0976,14,0.0,0.0,0,0.0,0.0,0,0.00906,0.0,3,0.0,0.0,0,0.00557,0.0,3,0.0,0.0,0,0.00655,0.0,3,0.02532,0.0,1,0.0,0.0,0,0.00169,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.00601,0.0,3,0.00405,0.0,3,0.094,0.01446,8,0.07706,0.0,7,0.0,0.0,0,0.00937,0.0,3,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.00342,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.00345,0.0,2,0.0,0.0,0,0.0016,0.0,1,0.00262,0.0,1,0.00089,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.01266,0.0,1,0.00816,0.0,3,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
masque,38,38,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.01421,0.0,3,0.02245,0.0,2,0.00525,0.0,2,0.00156,0.0,1,0.00632,0.0,1,0.00312,0.0,2,0.00445,0.0,1,0.0,0.0,0,0.0,0.0,0,0.18814,0.0,15,0.00792,0.0,1,0.0,0.0,0,0.0,0.0,0,0.00379,0.0,1,0.0,0.0,0,0.0,0.0,0,0.01413,0.0,3,0.01127,0.0,1,0.02919,0.0,3,0.02632,0.0,1,0.0,0.0,0,0.03381,0.0,4,0.0,0.0,0,0.01214,0.0,2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.00144,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0036,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.00293,0.0,2,0.00442,0.0,1,0.00449,0.0,1,0.0,0.0,0,0.0,0.0,0,0.00419,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.00268,0.0,1,0.0,0.0,0,0.00167,0.0,1,0.0,0.0,0,0.00529,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.01698,0.0,2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
interlude,1,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.65298,0.65298,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
other/multi,91,91,0.00643,0.0,2,0.00569,0.0,8,0.00156,0.0,1,0.00356,0.0,6,0.01251,0.0,9,0.03843,0.0,9,0.00261,0.0,1,0.0037,0.0,1,0.0,0.0,0,0.0007,0.0,2,0.00148,0.0,1,0.0029,0.0,4,0.03865,0.0,11,0.0038,0.0,4,0.0083,0.0,6,0.00256,0.0,1,0.0,0.0,0,0.0,0.0,0,0.00255,0.0,1,0.09623,0.0,22,0.0049,0.0,1,0.007,0.0,2,0.0244,0.0,6,0.00067,0.0,2,0.0058,0.0,3,0.0,0.0,0,0.00237,0.0,3,0.00035,0.0,1,0.00103,0.0,2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.00051,0.0,1,0.0,0.0,0,0.0013,0.0,1,0.00174,0.0,4,0.0005,0.0,1,0.00032,0.0,1,0.0,0.0,0,0.0007,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.01223,0.0,4,0.00056,0.0,1,0.00557,0.0,4,0.00118,0.0,1,0.00132,0.0,4,0.00384,0.0,2,0.0,0.0,0,0.00177,0.0,1,0.00015,0.0,1,0.00538,0.0,3,0.00391,0.0,2,0.00051,0.0,2,0.0,0.0,0,0.0,0.0,0,0.00157,0.0,2,0.0,0.0,0,0.0,0.0,0
