topic,label,use,genres_tested,mean comedy,mean tragedy,mean history,mean tragicomedy,mean moral,mean romance,mean pastoral,mean masque,median comedy,median tragedy,median history,median tragicomedy,median moral,median romance,median pastoral,median masque,works_with_topic comedy,works_with_topic tragedy,works_with_topic history,works_with_topic tragicomedy,works_with_topic moral,works_with_topic romance,works_with_topic pastoral,works_with_topic masque,highest,highest_works_with_topic,highest_top_work_share,single_work_driven,second,ratio_high_second,lowest,kruskal_p,bh_q
0,"Court life: dukes, favour and honour",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.04695,0.04346,0.02949,0.06169,0.00443,0.0096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47/151,21/111,9/34,13/29,1/28,2/18,0/15,0/38,tragicomedy,13/29,0.36,,comedy,1.31,masque,<1e-5,2e-05
1,"Death, grief and revenge",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.01752,0.06728,0.02239,0.07946,0.01632,0.01775,0.03776,0.0,0.0,0.05159,0.01057,0.05494,0.0,0.0,0.0236,0.0,45/151,80/111,17/34,21/29,6/28,8/18,8/15,0/38,tragicomedy,21/29,0.16,,tragedy,1.18,masque,<1e-5,<1e-5
2,"Roman politics: senate, consuls and civil war",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.00185,0.06393,0.00619,0.00354,0.0,0.00811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/151,27/111,2/34,4/29,0/28,2/18,0/15,0/38,tragedy,27/111,0.12,,romance,7.89,masque,<1e-5,<1e-5
3,"Sickness, physic and doctors",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.02454,0.0076,0.00246,0.01943,0.00507,0.0164,0.04408,0.01421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43/151,19/111,3/34,7/29,4/28,6/18,6/15,3/38,pastoral,6/15,0.62,YES,comedy,1.8,history,0.00687,0.01041
4,Love-longing and the lover's complaint,included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.01822,0.00873,0.00073,0.01158,0.00234,0.02244,0.12367,0.02245,0.0,0.0,0.0,0.0,0.0,0.0,0.0976,0.0,46/151,24/111,1/34,7/29,2/28,5/18,14/15,2/38,pastoral,14/15,0.16,,masque,5.51,history,<1e-5,<1e-5
5,"Christian faith, sin and salvation",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.00168,0.0034,0.02128,0.00532,0.15549,0.00144,0.0,0.00525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8/151,9/111,2/34,3/29,13/28,1/18,0/15,2/38,moral,13/28,0.18,,history,7.31,pastoral,<1e-5,<1e-5
6,"Money, debt and credit",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.0181,0.00387,0.01099,0.00679,0.02111,0.0032,0.0,0.00156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46/151,9/111,5/34,4/29,7/28,3/18,0/15,1/38,moral,7/28,0.26,,comedy,1.17,pastoral,1e-05,3e-05
7,The Trojan war: conflict and its aftermath,included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.00235,0.02648,0.00405,0.00072,0.00159,0.00402,0.00906,0.00632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6/151,14/111,2/34,1/29,2/28,3/18,3/15,1/38,tragedy,14/111,0.33,,pastoral,2.92,tragicomedy,0.03851,0.04747
8,"Captains, gallants and cheats",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.01723,0.00196,0.00178,0.00211,0.0,0.01047,0.0,0.00312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27/151,6/111,3/34,2/29,0/28,4/18,0/15,2/38,comedy,27/151,0.11,,romance,1.65,pastoral,0.0022,0.00353
9,"Theatre talk: prologues, poets and players",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.0129,0.00323,0.0,0.00943,0.01112,0.00266,0.00557,0.00445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42/151,11/111,0/34,10/29,4/28,3/18,3/15,1/38,comedy,42/151,0.08,,moral,1.16,history,2e-05,5e-05
