chunk_id,topic,in_fit
9_00000,5,1
9_00001,5,1
9_00002,5,1
9_00003,-1,1
9_00004,-1,1
9_00005,-1,1
9_00006,5,1
9_00007,5,1
9_00008,5,1
9_00009,5,1
9_00010,5,1
9_00011,5,1
9_00012,5,1
9_00013,5,1
11_00000,37,1
11_00001,37,1
11_00002,-1,1
11_00003,-1,1
11_00004,-1,1
11_00005,-1,1
11_00006,-1,1
11_00007,-1,1
11_00008,-1,1
11_00009,-1,1
11_00010,-1,1
11_00011,-1,1
11_00012,-1,1
11_00013,-1,1
11_00014,-1,1
11_00015,-1,1
11_00016,-1,1
11_00017,-1,1
11_00018,47,1
13_00000,-1,1
13_00001,-1,1
13_00002,-1,1
13_00003,-1,1
13_00004,-1,1
13_00005,-1,1
13_00006,-1,1
14_00000,-1,1
14_00001,-1,1
14_00002,-1,1
14_00003,-1,1
14_00004,-1,1
14_00005,-1,1
14_00006,-1,1
14_00007,-1,1
14_00008,-1,1
14_00009,-1,1
14_00010,-1,1
15_00000,-1,1
15_00001,-1,1
15_00002,4,1
15_00003,-1,1
15_00004,-1,1
15_00005,-1,1
15_00006,-1,1
15_00007,-1,1
15_00008,-1,1
15_00009,-1,1
15_00010,-1,1
15_00011,-1,1
15_00012,-1,1
15_00013,-1,1
15_00014,13,1
15_00015,1,1
15_00016,-1,1
15_00017,-1,1
19_00000,5,1
19_00001,-1,1
19_00002,-1,1
19_00003,5,1
19_00004,5,1
19_00005,5,1
19_00006,5,1
19_00007,-1,1
19_00008,5,1
19_00009,-1,1
22_00000,24,1
22_00001,-1,1
22_00002,-1,1
22_00003,-1,1
22_00004,13,1
22_00005,-1,1
22_00006,-1,1
22_00007,-1,1
22_00008,-1,1
22_00009,-1,1
22_00010,-1,1
22_00011,-1,1
22_00012,-1,1
22_00013,54,1
22_00014,4,1
22_00015,-1,1
22_00016,26,1
22_00017,51,1
22_00018,-1,1
22_00019,-1,1
22_00020,-1,1
25_00000,4,1
25_00001,-1,1
25_00002,-1,1
25_00003,4,1
25_00004,4,1
25_00005,-1,1
25_00006,-1,1
25_00007,4,1
25_00008,4,1
25_00009,4,1
25_00010,-1,1
25_00011,-1,1
25_00012,-1,1
25_00013,4,1
25_00014,-1,1
25_00015,4,1
25_00016,-1,1
25_00017,-1,1
25_00018,-1,1
25_00019,-1,1
25_00020,-1,1
25_00021,-1,1
25_00022,-1,1
25_00023,-1,1
25_00024,-1,1
25_00025,-1,1
27_00000,-1,1
27_00001,-1,1
27_00002,-1,1
27_00003,-1,1
27_00004,-1,1
27_00005,-1,1
27_00006,-1,1
27_00007,-1,1
27_00008,5,1
27_00009,-1,1
27_00010,-1,1
27_00011,-1,1
27_00012,-1,1
27_00013,-1,1
27_00014,-1,1
27_00015,-1,1
27_00016,-1,1
27_00017,-1,1
27_00018,-1,1
27_00019,-1,1
27_00020,-1,1
28_00000,-1,1
28_00001,5,1
28_00002,28,1
28_00003,-1,1
28_00004,-1,1
28_00005,-1,1
28_00006,-1,1
28_00007,-1,1
28_00008,-1,1
28_00009,-1,1
28_00010,46,1
28_00011,-1,1
28_00012,-1,1
28_00013,-1,1
28_00014,3,1
28_00015,-1,1
28_00016,-1,1
32_00000,19,1
32_00001,5,1
32_00002,-1,1
32_00003,13,1
32_00004,-1,1
32_00005,-1,1
32_00006,-1,1
32_00007,5,1
32_00008,-1,1
32_00009,5,1
33_00000,5,1
33_00001,5,1
33_00002,5,1
33_00003,-1,1
33_00004,-1,1
33_00005,3,1
33_00006,-1,1
33_00007,-1,1
33_00008,-1,1
33_00009,-1,1
33_00010,-1,1
33_00011,26,1
33_00012,26,1
33_00013,26,1
33_00014,-1,1
33_00015,-1,1
33_00016,19,1
33_00017,19,1
37_00000,5,1
37_00001,-1,1
37_00002,5,1
37_00003,-1,1
37_00004,5,1
37_00005,5,1
37_00006,5,1
37_00007,5,1
37_00008,5,1
37_00009,5,1
37_00010,5,1
37_00011,5,1
37_00012,5,1
37_00013,5,1
37_00014,5,1
37_00015,5,1
37_00016,5,1
39_00000,5,1
39_00001,5,1
39_00002,5,1
39_00003,5,1
39_00004,5,1
39_00005,-1,1
39_00006,5,1
39_00007,5,1
40_00000,5,1
40_00001,5,1
40_00002,5,1
40_00003,-1,1
40_00004,5,1
40_00005,26,1
40_00006,-1,1
40_00007,5,1
40_00008,31,1
40_00009,5,1
40_00010,5,1
40_00011,5,1
40_00012,5,1
40_00013,31,1
40_00014,5,1
40_00015,5,1
40_00016,5,1
40_00017,28,1
40_00018,31,1
40_00019,31,1
40_00020,5,1
40_00021,5,1
40_00022,5,1
40_00023,5,1
40_00024,5,1
40_00025,5,1
40_00026,5,1
40_00027,5,1
40_00028,5,1
40_00029,5,1
41_00000,5,0
41_00001,-1,0
41_00002,5,0
41_00003,56,0
41_00004,-1,0
41_00005,5,0
41_00006,5,0
41_00007,5,0
41_00008,5,0
41_00009,5,0
41_00010,5,0
41_00011,-1,0
41_00012,5,0
41_00013,31,0
41_00014,5,0
41_00015,5,0
41_00016,5,0
41_00017,-1,0
41_00018,31,0
41_00019,15,0
41_00020,5,0
41_00021,5,0
41_00022,5,0
41_00023,5,0
41_00024,5,0
41_00025,5,0
41_00026,5,0
41_00027,5,0
41_00028,5,0
41_00029,5,0
45_00000,37,1
45_00001,37,1
45_00002,37,1
45_00003,37,1
45_00004,37,1
45_00005,47,1
45_00006,37,1
45_00007,-1,1
45_00008,37,1
45_00009,-1,1
45_00010,37,1
45_00011,37,1
45_00012,37,1
45_00013,-1,1
45_00014,37,1
49_00000,7,1
49_00001,7,1
49_00002,7,1
49_00003,7,1
49_00004,7,1
49_00005,7,1
49_00006,7,1
49_00007,7,1
49_00008,7,1
49_00009,7,1
49_00010,-1,1
49_00011,7,1
49_00012,7,1
49_00013,7,1
49_00014,7,1
49_00015,7,1
49_00016,7,1
49_00017,7,1
49_00018,7,1
49_00019,7,1
49_00020,7,1
49_00021,7,1
49_00022,7,1
49_00023,7,1
49_00024,7,1
49_00025,7,1
49_00026,7,1
50_00000,36,1
50_00001,36,1
50_00002,7,1
50_00003,-1,1
50_00004,-1,1
50_00005,-1,1
50_00006,-1,1
50_00007,25,1
50_00008,-1,1
50_00009,-1,1
50_00010,40,1
50_00011,34,1
50_00012,7,1
50_00013,-1,1
50_00014,-1,1
50_00015,-1,1
50_00016,24,1
50_00017,-1,1
50_00018,-1,1
50_00019,1,1
50_00020,-1,1
50_00021,1,1
50_00022,-1,1
50_00023,36,1
51_00000,36,0
51_00001,36,0
51_00002,7,0
51_00003,-1,0
51_00004,25,0
51_00005,-1,0
51_00006,-1,0
51_00007,25,0
51_00008,-1,0
51_00009,-1,0
51_00010,40,0
51_00011,34,0
51_00012,7,0
51_00013,-1,0
51_00014,-1,0
51_00015,-1,0
51_00016,24,0
51_00017,-1,0
51_00018,-1,0
51_00019,-1,0
51_00020,-1,0
51_00021,1,0
51_00022,36,0
51_00023,36,0
53_00000,-1,1
53_00001,-1,1
53_00002,5,1
53_00003,37,1
53_00004,-1,1
53_00005,5,1
53_00006,39,1
53_00007,-1,1
53_00008,-1,1
53_00009,-1,1
53_00010,47,1
53_00011,37,1
53_00012,-1,1
53_00013,5,1
54_00000,-1,1
54_00001,51,1
54_00002,-1,1
54_00003,47,1
54_00004,-1,1
54_00005,-1,1
54_00006,1,1
54_00007,47,1
54_00008,1,1
54_00009,-1,1
57_00000,15,1
57_00001,15,1
57_00002,-1,1
59_00000,20,1
59_00001,20,1
59_00002,20,1
59_00003,-1,1
59_00004,20,1
59_00005,34,1
59_00006,7,1
59_00007,-1,1
59_00008,34,1
59_00009,-1,1
59_00010,-1,1
59_00011,20,1
59_00012,-1,1
59_00013,7,1
59_00014,7,1
59_00015,36,1
59_00016,36,1
59_00017,20,1
59_00018,7,1
59_00019,-1,1
59_00020,20,1
59_00021,20,1
59_00022,20,1
59_00023,20,1
59_00024,20,1
59_00025,20,1
59_00026,-1,1
59_00027,20,1
60_00000,-1,0
60_00001,20,0
60_00002,20,0
60_00003,20,0
60_00004,20,0
60_00005,-1,0
60_00006,7,0
60_00007,-1,0
60_00008,-1,0
60_00009,20,0
60_00010,-1,0
60_00011,20,0
60_00012,-1,0
60_00013,20,0
60_00014,-1,0
60_00015,36,0
60_00016,36,0
60_00017,20,0
60_00018,20,0
60_00019,-1,0
60_00020,20,0
60_00021,20,0
60_00022,20,0
60_00023,20,0
60_00024,20,0
60_00025,20,0
60_00026,-1,0
60_00027,20,0
65_00000,-1,1
65_00001,36,1
65_00002,-1,1
65_00003,36,1
65_00004,36,1
65_00005,-1,1
65_00006,-1,1
65_00007,-1,1
65_00008,34,1
65_00009,36,1
65_00010,-1,1
65_00011,-1,1
65_00012,36,1
65_00013,36,1
65_00014,-1,1
65_00015,25,1
65_00016,25,1
65_00017,-1,1
65_00018,22,1
65_00019,-1,1
65_00020,-1,1
65_00021,-1,1
65_00022,-1,1
65_00023,-1,1
65_00024,1,1
65_00025,36,1
66_00000,-1,1
66_00001,-1,1
66_00002,-1,1
66_00003,-1,1
66_00004,20,1
66_00005,20,1
66_00006,-1,1
66_00007,13,1
66_00008,7,1
66_00009,7,1
66_00010,-1,1
66_00011,-1,1
66_00012,7,1
66_00013,-1,1
67_00000,-1,1
67_00001,-1,1
67_00002,-1,1
67_00003,-1,1
67_00004,-1,1
67_00005,-1,1
68_00000,-1,1
68_00001,-1,1
68_00002,-1,1
68_00003,-1,1
68_00004,-1,1
68_00005,-1,1
68_00006,-1,1
68_00007,-1,1
68_00008,-1,1
68_00009,-1,1
68_00010,-1,1
68_00011,-1,1
68_00012,-1,1
68_00013,-1,1
68_00014,-1,1
68_00015,1,1
68_00016,1,1
68_00017,1,1
68_00018,40,1
68_00019,1,1
68_00020,38,1
68_00021,-1,1
68_00022,-1,1
68_00023,18,1
68_00024,-1,1
68_00025,-1,1
68_00026,53,1
68_00027,-1,1
68_00028,-1,1
69_00000,-1,0
69_00001,-1,0
69_00002,-1,0
69_00003,-1,0
69_00004,-1,0
69_00005,-1,0
69_00006,-1,0
69_00007,-1,0
69_00008,-1,0
69_00009,-1,0
69_00010,-1,0
69_00011,-1,0
69_00012,-1,0
