topic,rank,word,is_name
0,1,duke,0
0,2,lord,0
0,3,duchess,0
0,4,love,0
0,5,court,0
0,6,madam,0
0,7,prince,0
0,8,honour,0
0,9,grace,0
0,10,lady,0
1,1,death,0
1,2,life,0
1,3,dead,0
1,4,die,0
1,5,blood,0
1,6,revenge,0
1,7,soul,0
1,8,father,0
1,9,heart,0
1,10,heaven,0
2,1,rome,0
2,2,caesar,1
2,3,senate,0
2,4,sulla,1
2,5,roman,0
2,6,consul,0
2,7,brutus,1
2,8,romans,0
2,9,men,0
2,10,marius,1
3,1,doctor,0
3,2,master,0
3,3,cure,0
3,4,disease,0
3,5,pray,0
3,6,physic,0
3,7,physician,0
3,8,mr,0
3,9,sick,0
3,10,lady,0
4,1,love,0
4,2,heart,0
4,3,sweet,0
4,4,loves,0
4,5,fair,0
4,6,phillis,1
4,7,eyes,0
4,8,beauty,0
4,9,amyntas,1
4,10,lovers,0
5,1,god,0
5,2,christ,0
5,3,david,1
5,4,sin,0
5,5,holy,0
5,6,israel,0
5,7,lord,0
5,8,mercy,0
5,9,sins,0
5,10,faith,0
6,1,money,0
6,2,master,0
6,3,pound,0
6,4,law,0
6,5,lawyer,0
6,6,chain,0
6,7,gentleman,0
6,8,gold,0
6,9,pay,0
6,10,pray,0
7,1,hector,1
7,2,troy,0
7,3,achilles,0
7,4,greeks,0
7,5,aeneas,1
7,6,priam,0
7,7,ulysses,0
7,8,troilus,1
7,9,trojan,0
7,10,trojans,0
8,1,captain,0
8,2,master,0
8,3,money,0
8,4,gentleman,0
8,5,little,0
8,6,lieutenant,0
8,7,rogue,0
8,8,pray,0
8,9,minos,1
8,10,honest,0
9,1,play,0
9,2,stage,0
9,3,poet,0
9,4,prologue,0
9,5,author,0
9,6,wit,0
9,7,plays,0
9,8,muse,0
9,9,scene,0
9,10,players,0
10,1,france,0
10,2,french,0
10,3,england,0
10,4,king,0
10,5,lord,0
10,6,english,0
10,7,edward,1
10,8,talbot,1
10,9,peace,0
10,10,lords,0
11,1,sister,0
11,2,brother,0
11,3,love,0
11,4,friend,0
11,5,heart,0
11,6,father,0
11,7,mother,0
11,8,woman,0
11,9,lord,0
11,10,hear,0
12,1,iupiter,0
12,2,saturn,0
12,3,iuno,0
12,4,venus,0
12,5,gods,0
12,6,mars,0
12,7,earth,0
12,8,titan,0
12,9,love,0
12,10,fair,0
13,1,knight,0
13,2,raph,1
13,3,lady,0
13,4,knights,0
13,5,george,1
13,6,master,0
13,7,squire,0
13,8,rafe,1
13,9,pray,0
13,10,god,0
14,1,prince,0
14,2,princess,0
14,3,love,0
14,4,king,0
14,5,lord,0
14,6,queen,0
14,7,madam,0
14,8,grace,0
