topic,hdbscan_label,size,size_all_editions,words,n_works,n_works_ge3,dominant_work,dominant_work_share,top3_work_share,top_works,top_author_raw,top_author_share,genre_mix_of_topic,play_type_mix,ctfidf_top10,keybert_top10,mmr_top10,names_in_top30,representative_chunks,draft_label,pattern_basis,use_in_genre_analysis,basis,review_status,chunks_read,Label,Notes
0,13,581,647,287121,95,52,The Opportunity,0.053,0.138,The Opportunity (31); The Revenger's Tragedy (26); Love's Sacrifice (23); The Royal Master (22); The Great Duke of Florence (21),"Shirley, James",0.232,comedy 40%; tragedy 33%; tragicomedy 11%,Adult Professional;Professiona 72%; Boys Professional;Professional 13%,"*duke, *lord, *duchess, love, court, madam, *prince, honour, grace, *lady","*duke, *prince, *duchess, *lord, honour, *lady, love, madam, *florence, grace","*duke, love, signior, *prince, father, *lady, *florence, look, honour, death","duke, lord, duchess, prince, lady, florence","[533_00033 — The Gentleman Usher (Vincentio and Margaret) (Chapman, George, 1606); comedy] That would extremely grieve me, could myself Only endure the ill, our hardest fates, May lay on both of us; I would not care, But to behold thy sufferance, I should die. How can your Lordship wrong my love so much, To think the more woe I sustain for you, Breeds not the more my comfort? I alas Have no mean else, to make my merit even In any measure…

[741_00009 — Cupid's Revenge (Beaumont, FrancisFletcher, John, 1615); tragedy] Why dost thou think me so base to tell? These limbs of mine shall part From one another on a wrack, Ere I disclose; But thou dost utter words That much afflict me: you did seem as ready Sweet Bacha as myself. You are right a man: when they have witched us into misery, poor innocent souls, They lay the fault on us: But be it so- For prince Leucippus…

[1130_00025 — The Humorous Courtier (The Duke) (Shirley, James, 1640); comedy] A fury lend me curses, make me all An execration, I ha' plotted fairly, And made myself a fine rediculus thing To no purpose, I am deep in shame, I must on Giotto, have a nimble brain; you must sink too Or boy me up again. Make no words Crispino, for the Duchess Would not have it published that she means to choose me. Did she promise you? Not by wo…","Court life: dukes, favour and honour",thematic_discourse,included,"581 chunks, 95 works, no work above 5 %. Life around a duke's or prince's court: favour, service, honour and dishonour, marriage plotted from above; Italianate court register shared by Shirley, Ford, Middleton, Chapman. Largest cluster — a setting more than one subject; fine for cross-work comparison, but read it against T14 (royal courts) and T16 (gallantry).",user_confirmed,1128_00022;594_00003;1001_00000;1027_00033;647_00006;595_00000;577_00013,"Court life: dukes, favour and honour",
1,27,538,590,267214,193,78,"Adrasta, or The Woman's Spleen and Love's Conquest",0.026,0.063,"Adrasta, or The Woman's Spleen and Love' (14); Antonio's Revenge (2 Antonio and Mellida (10); The Atheist's Tragedy, or The Honest Man (10); The Spanish Bawd (Calisto and Meliboea)  (10); 1 The Cid (The Valiant Cid) (10)","Shirley, James",0.065,tragedy 48%; comedy 18%; tragicomedy 11%,Adult Professional;Professiona 51%; Boys Professional;Professional 13%,"death, life, dead, die, blood, revenge, soul, father, heart, heaven","revenge, death, murder, die, grief, love, son, soul, heart, tears","revenge, father, grief, heaven, love, dear, death, *lord, justice, soul",lord,"[916_00035 — Albovine, King of the Lombards (Davenant, William, 1629); tragedy] I dare not so disgrace my Religion, And my love. 'tis time that I were dead, for I shall else Outlive my chief prerogative. I have Forgot how to command. unsheathe thy Sword! Or this breach of Duty shall teach methink, I ne'er enjoyed thy real love, and 'twas Not a mistake, that ushered thee to sin between My sheets, but a considerate lust— No prov…

[1030_00018 — Adrasta, or The Woman's Spleen and Love's Conquest (Jones, John, 1635); tragicomedy] Where shall I run to meet, that, which beheld Kills with a deadlier wound then do the eyes Or coldest poison of a Basilisk. Althaea stay— and let thy wretched Parent Take the last farewell of her dying child. Ah why did Nature make my unhappy womb Fruitful by thee, and yet reserve mine age To outlive the extremities of grief, and see Thy dismal end…

[606_00028 — Volpone, or The Fox (Jonson, Ben, 1616); comedy] To be your comfortress, and to preserve you. Alas, I am passed already! 'pray you, thank him, For his good care, and promptness, but for that, 'Tis a vain labour, e'en to fight, 'gainst heaven; Applying fire to a stone: (vh, vh, vh, vh.) Making a dead leaf grow again. I take His wishes gently, though; and, you may tell him, What I have done for him…","Death, grief and revenge",thematic_discourse,included,"538 chunks, 193 works, no work above 3 %. Laments, vows of vengeance, murder confessed or plotted, blood and the soul's fate; common nouns only (death, life, blood, revenge, soul). The broadest theme in the model; well suited to cross-work comparison.",user_confirmed,1030_00013;420_00005;686_00039;165_00007;892_00050;699_00038;85_00005,"Death, grief and revenge",
2,34,334,412,165675,43,22,Catiline His Conspiracy,0.147,0.353,"Catiline His Conspiracy (49); Coriolanus (35); Sejanus His Fall (34); Julius Caesar (31); The Wounds of Civil War, or Marius and S (30)","Jonson, Ben",0.272,tragedy 90%; comedy 4%; history 2%,Adult Professional;Professiona 65%; Closet/Unacted;Nonprofessional 11%,"*rome, *caesar, *senate, *sulla, *roman, *consul, *brutus, *romans, men, *marius","*pompey, *brutus, *roman, *romans, *marius, *rome, noble, gods, war, *senate","*pompey, *romans, fear, gods, *senate, *consul, *caesar, *brutus, noble, *sulla","rome, caesar, senate, sulla, roman, consul, brutus, romans, marius, pompey","[235_00004 — The Wounds of Civil War, or Marius and Scilla (Lodge, Thomas, 1594); tragedy] Enough my Anthony, for thy honeyed tongue Washed in a syrup of sweet Conservatives, Driveth confused thoughts through Sulla's mind, Therefore suffice thee, I may nor will not hear, so farewell Anthony, honour calls me hence, Sulla will fight for glory and for Rome. See Noble Anthony the trustless state of rule, The stayles hold of matchless soverei…

[235_00019 — The Wounds of Civil War, or Marius and Scilla (Lodge, Thomas, 1594); tragedy] Midst these confusions mighty men of Rome, Why waste we out these troubles all in words, Weep not your harms, but wend we straight so arms, Lo Distia spoiled, see Marius at our gate: And shall we die like milksops dreaming thus? A bootless war to see our country spoiled. fruitless is dalliance whereas dangers be. My Lord, may courage wait on conque…

[235_00018 — The Wounds of Civil War, or Marius and Scilla (Lodge, Thomas, 1594); tragedy] My countrymen and favourites of Rome, This melancholy desert where we meet, Resembleth well young Marius restless thoughts. Here dreadful silence, solitary caves, No chirping birds with solace singing sweetly, Are harboured for delight: but from the oak Leafless and sapless through decaying age, The screech-owl chants her fatal boding lays. Within …","Roman politics: senate, consuls and civil war",thematic_discourse+shared_narrative,included,"334 chunks, 43 works (22 with 3+), Catiline 15 %, top three 35 %. Roman public life — senate, consuls, conspiracies, triumphs, civil war — from Jonson, Shakespeare, Lodge, Herbert, Alexander. Held by a shared subject (Rome), not one story; the Roman names in the keywords come from the original text, the embedding never saw them. Comparable across works.",user_confirmed,690_00002;882_00009;512_00023;235_00032;740_00019;890_00008;187_00021,"Roman politics: senate, consuls and civil war",
4,41,257,274,127067,110,30,"Il Pastor Fido, or The Faithful Shepherd",0.051,0.132,"Il Pastor Fido, or The Faithful Shepherd (13); Sicelides (The Sicilians) (12); Phillis and Amyntas (Ivychurch) (Amyntas (9); A Play of Love (8); The Spanish Bawd (Calisto and Meliboea)  (8)","Shakespeare, William",0.113,comedy 38%; pastoral 23%; tragedy 14%,Adult Professional;Professiona 33%; Boys Professional;Professional 25%,"love, heart, sweet, loves, fair, *phillis, eyes, beauty, *amyntas, lovers","love, lover, loves, affection, lovers, desire, soul, kiss, *phillis, pity","love, *phillis, thoughts, kiss, dear, soul, *amyntas, beauty, lovers, desire","phillis, amyntas","[579_00013 — Bussy D'Ambois (Chapman, George, 1607); tragedy] True my Lord, and never My fruitless love shall let your serious profit, Yet, sweet Lord, do no stay, you know my soul Is so long time without me, and I dead As you are absent. By this kiss, receive My soul for hostage, till I see my love. The morn shall let me see you: With the sun I'll visit thy more comfortable beauties. This is my comfort, that…

[398_00014 — The Shoemaker's Holiday, or The Gentle Craft (Dekker, Thomas, 1600); comedy] Sweet mistress Rose, Misconstrue not my words, nor misconceive Of my affection, whose devoted soul Swears that I love thee dearer than my heart. As dear as your own heart? I judge it right. Men love their hearts best when theyare out of sight. I love you, by this hand. Yet hands off now: If flesh be frail, how weak and frail's your vow? Then by my …

[1004_00010 — A Fine Companion (Marmion, Shackerley, 1633); comedy] Oh my heart, my heart. Would you would rip it up, that you might see yourself enthroned, and all my faculties Paying their homage to your memory. I think I do it indifferently. All this and more, Lovers can speak at pleasure. Propose a course how I might win belief: Were there a way to it, as deep with danger, As to the Centre, I will search it out…",Love-longing and the lover's complaint,thematic_discourse,included,"257 chunks, 110 works, no work above 5 %. Lovers pleading, praising eyes and beauty, complaining of scorn; pastoral lovers (Guarini, Tasso, Fraunce, Phineas Fletcher) prominent but Shakespeare, Day and Barnes are there too. Broad cross-work theme.",user_confirmed,416_00026;957_00013;165_00029;595_00016;385_00011;630_00014;910_00003,Love-longing and the lover's complaint,
3,4,253,294,124550,97,36,The Family of Love,0.075,0.17,"The Family of Love (19); The Alchemist (12); The Magnetic Lady, or Humors Reconciled (12); The Spanish Bawd (Calisto and Meliboea)  (11); The Hollander (Love's Trial) (10)","Jonson, Ben",0.174,comedy 55%; tragedy 11%; tragicomedy 7%,Adult Professional;Professiona 55%; Boys Professional;Professional 20%,"*doctor, master, cure, disease, pray, physic, physician, *mr, sick, *lady","cure, sick, pray, madam, physician, *doctor, *lady, mistress, heart, *lord","cure, *lord, pray, madam, *doctor, look, physic, gentleman, sick, head","doctor, mr, lady, lord","[1104_00008 — Monsieur Thomas (Father's Own Son) (Fletcher, John, 1639); comedy] None, gentle sir, that I feel Your love is too too tender. Nay believe sir, You cannot be the master of your health, Either some fever lies in wait to catch ye, Whose harbinger's already in your face We see preparing: or some discontent, Which if it lie in this house, I dare say Both for this noble Gentleman, and all That live within it, shall as r…

[1039_00010 — The Wonder of A Kingdom (Dekker, Thomas, 1636); comedy] Mine be your will; Oh me! what pains we take to bring forth ill! Such a disguise is safe too, since you never but once Were seen there. My wise sister ever. Send in the fellow there that brought the letter; Why how now? do his legs fail him already? A staff for his declining age. I have a pikestaff of mine own already, but I could not Keep our your…

[1148_00006 — The Hollander (Love's Trial) (Glapthorne, Henry, 1640); comedy] Your wit is very scurvy Sir: if you serve a Creature here to carry messages; pray deliver one to her. I may choose whether I will or no though. Nay, and he shall choose sir. Prithee good friend let him; I'll do't myself. Nay, that you shall not neither: what stand I here for? But sir, 'tis not the fashion of this liberal age, to employ a man of mer…","Sickness, physic and doctors",thematic_discourse,included,"253 chunks, 97 works, Family of Love 8 %. Physicians, cures, disease, quack empirics, the sick mistress; often bawdy (the doctor in the bed). 36 works with 3+ chunks; suitable for cross-work comparison.",user_confirmed,616_00026;701_00004;1172_00012;1120_00013;914_00024;798_00034;651_00016,"Sickness, physic and doctors",
5,15,213,237,106112,47,16,The Conflict of Conscience,0.141,0.343,"The Conflict of Conscience (30); The Three Laws of Nature, Moses, and Chr (22); The Love of King David and Fair Bathsheb (21); The Life and Repentance of Mary Magdalen (19); The Chief Promises of God unto Man (God' (15)","Bale, John",0.207,moral 47%; not in BritDrama 12%; biblical play 12%,Interlude;Nonprofessional 70%; Adult Professional;Professiona 25%,"*god, *christ, *david, sin, holy, *israel, *lord, mercy, sins, faith","repent, *god, *christ, holy, pray, faith, sins, gospel, mercy, soul","repent, *god, sins, gospel, pray, *israel, holy, word, grace, mercy","god, christ, david, israel, lord","[84_00035 — The Life and Repentance of Mary Magdalene (Wager, Lewis, 1566); moral] Pleaseth it you reverend father, to give me licence To say my mind to this blasphemerand thief, In few words you shall have my sentence: Of all heretics I judge him to be the chief. Perceive you not how he doth begin? He cometh to none of the princes and governors, But a sort of sinners he goeth about to win: As publicans, whores, harlots, and unju…

[40_00015 — The Three Laws of Nature, Moses, and Christ, Corrupted by the Sodomites, Pharisees, and Papists (Bale, John, 1548); moral] Thus a blind crypple, I wander here alone, Abiding the time, and grace of restoration, By the son of God To whom I make my moan, My cause to pity, and grant me supportation, Lest I be left here, to utter desolation, And extreme decay, without any remedy. If he did not help, of goodness and of mercy, Ye christian princes, God hath given you the pour…

[84_00032 — The Life and Repentance of Mary Magdalene (Wager, Lewis, 1566); moral] To show such obsequy to him it is a small matter, Which by his grace hath my sinful life amended. O wretched eyes can you weep for a thing temporal, As for the loss of worldly goods and parents, And can you not weep for the lord celestial? Which loss incomparably passeth all detriments. With this ointment most pure and precious, I was wont to make …","Sin, repentance and God's mercy",thematic_discourse,included,"213 chunks, 47 works, Conflict of Conscience 14 %. Christian doctrine and devotion: God, Christ, sin, faith, mercy, scripture and the Old Testament (David, Israel); anti-papal satire (Bale) and pardoners (Heywood) alongside. Mostly interludes and biblical plays — the topic→genre direction is expected; still a real cross-work theme.",user_confirmed,131_00009;40_00010;361_00012;37_00002;33_00001;216_00032;33_00002,"Christian faith, sin and salvation","sample review supports Christian faith, sin and salvation, including disputes over law, church and scriptural authority. This broader label fits the sampled polemical passages better than repentance alone. Reviewed excerpts (three different works): 84_00035; 40_00026; 131_00019."
6,42,187,192,92945,76,23,Two Wise Men and All the Rest Fools,0.086,0.166,"Two Wise Men and All the Rest Fools (16); The Knave in Grain, New Vamped (8); Your Five Gallants (The Five Witty Galla (7); The Phoenix (6); A Knack to Know a Knave (5)",Anonymous,0.144,comedy 58%; tragedy 9%; satire; dialogue 9%,Adult Professional;Professiona 57%; Boys Professional;Professional 21%,"money, master, pound, law, *lawyer, chain, gentleman, gold, pay, pray","gentlemen, gentleman, shillings, poor, chain, money, fellow, gold, men, faith","gentlemen, shillings, pray, chain, poor, honest, *lawyer, pay, house, look",lawyer,"[365_00009 — Every Man Out of His Humor (Jonson, Ben, 1600); comedy] I perceive you sir, I will take up, and bring myself in credit sure. Marry this; always beware you commerce not with bankrupts, or poor needy Ludgathians: they are impudent creatures, turbulent spirits, they care not what violent tragedies they stir, nor how they play fast and lose with a poor gentleman's fortunes to get their own: marry, these ric…

[527_00011 — 2 If You Know Not Me You Know Nobody (The Second Part of Queen Elizabeth's Troubles) (Heywood, Thomas, 1606); history] Fore God thou sayst well. I have served Sent the Perfumer, Tallow the Currier, Quarrel the glazier, and some three or four more of our poor smelts so this morning. Heart I have courest thorough two or three Lanes, yet the miching slave follows me so close I can not give him the slip for this hundred pound: as God save me now t's in my hand i'do rat…

[866_00003 — The Comedy of Errors (Shakespeare, William, 1623); comedy] Stop in your wind sir, tell me this I pray? Where have you left the money that I gave you. Oh six pence that I had a wensday last, To pay the Saddler for my Mistress crupper: The Saddler had it Sir, I kept it not. I am not in a sportive humour now: Tell me, and dally not, where is the money? We being strangers here, how darest thou trust So great a…","Money, debt and arrest",thematic_discourse,included,"187 chunks, 76 works, no work above 9 %. Debts, bonds, arrests at a creditor's suit, gold chains pawned or stolen, lawyers and fees; London city plays but also Comedy of Errors and Soliman and Perseda. Cross-work theme.",user_confirmed,813_00041;1133_00035;628_00031;602_00020;188_00015;866_00015;973_00029,"Money, debt and credit",
11,16,142,146,70108,78,15,"Greene's Tu Quoque, or The City Gallant",0.056,0.134,"Greene's Tu Quoque, or The City Gallant (8); The Maid's Revenge (6); The Devil's Law Case (When Women Go to L (5); The Fair Maid of the Exchange (4); The Maid's Tragedy (4)","Shirley, James",0.085,comedy 49%; tragedy 22%; tragicomedy 13%,Adult Professional;Professiona 59%; Boys Professional;Professional 13%,"sister, brother, love, friend, heart, father, mother, woman, *lord, hear","sister, brother, love, mistress, mother, father, son, *lady, daughter, wife","sister, pray, look, noble, soul, leave, father, mistress, love, letter","lord, lady","[1082_00019 — Covent Garden (Nabbes, Thomas, 1638); comedy] Forbear the rest. This affords me matter: Return to that house, there leave your booty and receive your reward; only this I'll keep. With all our hearts: we had rather anybody should have them, than the hangman both them and us for them. Come Dobson, we have got the money yet; and a little sack will animate us again. My soul's under foot; I must ra…

[926_00031 — The Cruel Brother (Davenant, William, 1630); tragedy] Had she included all propinquity Of blood; which lawful Marriage keepeth known, Or promiscuous Copulation, maketh Intricate: this bare word (Honour) had been Enough, t'have divorced her from my mercy. Sweet Lord; do not mistake your Servant: Whose kindness thinks his own Sister (when defiled) Was to base for your use. A bloody kindness to distingui…

[927_00027 — The Just Italian (Davenant, William, 1630); tragicomedy] Thou hast been called my friend. But if thy spleen Continue a dislike of her, I'll blow thee from My memory, and with my chiefest strength I'll punish thy mistake— A desolate grief Will more become thy breast then this proud rage. Thy brother's dead, and his decease caused by Her sister's pride. My sister's husband dead. Into my ears thou hast a ho…","Siblings, kin and confidants",thematic_discourse,included,"142 chunks, 78 works, no work above 6 %. What unites the chunks is kinship address — sister, brother, father, friend — in confidences, letters and family news rather than one subject. Cross-work by the numbers; when reading, decide whether this counts as a theme or only a register of address.",user_confirmed,732_00009;1111_00024;857_00022;964_00005;730_00009;1104_00000;993_00018,"Siblings, kin and confidants",
8,20,134,156,66127,44,18,"The Puritan, or The Widow of Watling Street (The Puritan Widow)",0.082,0.231,"The Puritan, or The Widow of Watling Str (11); May Day (11); Satiromastix, or The Untrussing of the H (9); A Fine Companion (8); Poetaster, or The Arraignment (7)","Middleton, Thomas",0.149,comedy 83%; romance 5%; tragedy 4%,Boys Professional;Professional 44%; Adult Professional;Professiona 31%,"*captain, master, money, gentleman, little, *lieutenant, rogue, pray, *minos, honest","*captain, gentlemen, knight, gentleman, rogue, mistress, rascal, *george, *lady, *god","*captain, pray, gentleman, mistress, rascal, knight, money, drink, sirrah, rogue","captain, lieutenant, minos, lady, george, god","[1004_00031 — A Fine Companion (Marmion, Shackerley, 1633); comedy] Sir you have built a sconce since you came in of thirty pounds, and before you have any more, my Master intends to be satisfied. What money have you brother? Who I? O Lord brother Captain, I have not the third part of it. No matter, I ne'er think upon such transitory reckonings: come, let's have a health, and my brother Lackwit shall begin it. Reac…

[573_00014 — The Phoenix (Middleton, Thomas, 1607); comedy] Oh why do you so wilfully cherish your own poison? and breath against the best of life, chaste credit. Well may I call it chaste, for like a Maid Once falsely broke it ever lives decayed. O Captain, husband, you name that Dishonest, By whose good power all that are honest live, What madness is it to speak ill of that, Which makes all men speak well…

[808_00042 — A King and No King (Beaumont, FrancisFletcher, John, 1619); tragicomedy] Yet here is something due, which I as touched in conscience will discharge Captain; I'll pay this rent for you. Spare yourself my good Lord; my brave friends aim at nothing but the virtue. That's but a cold discharge Sir for their pains. O Lord, my good Lord. Be not so modest, I will give you something. They shall dine with your Lordship, that's su…","Captains, gallants and cheats",thematic_discourse,included,"134 chunks, 44 works (18 with 3+), Puritan 8 %. Braggart captains, gallants, rogues and their tricks: money owed, tavern bills, bawds, conjuring for hire; Middleton, Chapman, Dekker, Jonson, Mayne. Cross-work theme.",user_confirmed,591_00031;695_00028;444_00018;1118_00032;422_00022;422_00019;1118_00012,"Captains, gallants and cheats","sample review supports a captain/gallant social domain, including evasion of payment, wealth-based friendship and quarrelling. Include broadly; fraud is a recurring possibility rather than a universal action. Reviewed excerpts (three different works): 1004_00031; 1049_00027; 444_00028."
9,11,132,156,64830,76,13,"Poetaster, or The Arraignment",0.053,0.152,"Poetaster, or The Arraignment (7); The Antipodes (7); The Magnetic Lady, or Humors Reconciled (6); Every Man Out of His Humor (5); Cynthia's Revels, or The Fountain of Sel (5)","Jonson, Ben",0.28,comedy 58%; tragedy 11%; not in BritDrama 8%,Adult Professional;Professiona 44%; Boys Professional;Professional 30%,"play, stage, *poet, prologue, author, wit, plays, muse, scene, players","mirth, *poets, *horace, *poet, plays, actors, *comedy, gentlemen, prologue, act","mirth, *poets, prologue, gentlemen, plays, *horace, faith, muse, wit, censure","poet, poets, comedy, lord, horace","[413_00003 — Cynthia's Revels, or The Fountain of Self-Love (Jonson, Ben, 1616); satire] So, sir, this is all the reformation you seek? It is: do not you think it necessary to be practised, my little wag? Yes, where any such ill-habited custom is received. O (I had almost forgot it too) they say, the umbrae, or ghosts of some three or four plays, departed a dozen years since, have been seen walking on your stage here: take heed, boy, i…

[1172_00019 — The Magnetic Lady, or Humors Reconciled (Jonson, Ben, 1640); comedy] They are no other but narrow, and shrunk natures; shriveld up, poor things, that cannot think well of themselves, who dare to detract others. That Signature is upon them, and it will last. A half-witted Barbarism! which no Barber's art, or his balls, will ever expunge or take out. Why, Boy? This were a strange Empire, or rather a Tyranny, you would…

[555_00001 — The Isle of Gulls (Day, John, 1606); comedy] All that's nothing to me, and there be not Wormwood water and Copperes in't, I'll not like it, should Apollo write it, and Rosius himself act it. Fie upon thee, thou art too too Critical: is there any good bawdry in't, jests of an ell deep, and a fathom broad, good cuckolding, may a couple of young-setters up learn to do well in't? Give me a scene …","Theatre talk: prologues, poets and players",thematic_discourse,included,"132 chunks, 76 works, no work above 5 %. Plays about playing: prologues, inductions, epilogues, poets and their censurers, players and audiences (Jonson, Brome, Nashe, Rawlins, Glapthorne). Much of it is framing matter (prologue/epilogue) rather than plot; still comparable across works.",user_confirmed,422_00002;1140_00037;1172_00002;396_00000;1135_00027;533_00004;1144_00000,"Theatre talk: prologues, poets and players",
