map_version,unit_id,tcp,source_sha256,unit_node_path,parent_unit,kind,div_type,div_paths_present,head,n_sp,n_chars_candidate,trailer_text,act_heads,text_first160,text_last160,old_id,old_id_aliases,deep_id,work_key(work_id),witness_key(edition_id),title_deep,author_deep,genre_deep,play_type_deep,year_deep,metadata_repaired,edition_id_corrected,deep_id_corrected,year_corrected,edition_correction_source,edition_record_states,edition_id_effective,deep_id_effective,year_effective,edition_effective_basis,metadata_added_from,tcp_header_date_raw,tcp_source_publication_date_raw,edition_status,match_method,match_score,candidates,identity_status,relation,inclusion_status,witness_role,witness_selection,witness_selection_status,year_effective_raw,reason
unit_map-2026-09-08.v16,B00230,B00230,434698229f0f8e120e2c19d7e3ece57c3e2cef3581910dd8899beab11fde1bee,/*/*[2]/*[2],,single,,masque,TIME ƲINDICATED.,175,16301,The end.,,"GIue eare, the worthy, heare what Time proclaimes.","And when they thickest fall, you make the Gods true feasts:",B00230,,709,385,852,Time Vindicated to Himself and to His Honors,"Jonson, Ben",masque,Occasional;Nonprofessional,1623,False,,,,,,852,709,1623,original DEEP row,,1623,1623].,ok,tcp_1to1,1.0,,confirmed_auto,primary,proposed,,,,1623,
unit_map-2026-09-08.v16,A00456,A00456,af00096c737946cdefbb368737847b5ef45f1a6776906a57dab18aa16fd91743,/*/*[2]/*[2],,single,,play;song,Sing heere.,131,36884,¶ The end of the ſong. || The end of the ſong.,,"BEfore the time that fortunes lot, dyd ſhew ech fate his dome,",all in one.,A00456,,94,65,114,Appius and Virginia,"B., R.",tragedy,Interlude,1575,False,,,,,,114,94,1575,original DEEP row,,1575,1575.,ok,tcp_1to1,1.0,,confirmed_auto,primary,proposed,,,,1575,
unit_map-2026-09-08.v16,A00471,A00471,ebd282118107eed760a899f4acd3b93eaa8d7fdbc552f7465f85ade3572b0671,/*/*[2]/*[2],,single,,morality_play,,210,33716,,,I Pray you all gyue your audyence.,Say ye for ſaynte charytye.,A00471,,7,4,9,The Summoning of Everyman,Anonymous,not in BritDrama,Interlude;Nonprofessional,1534,False,,,,,,9,7,1534,original DEEP row,,1535,1535?],minor: header 1535 vs DEEP 1534 - not verified,tcp_1to1,1.0,,confirmed_auto,primary,proposed,,,,1534,
unit_map-2026-09-08.v16,A00723,A00723,ade0bc5e6851c3b9ac7a3c36a28c2401d995b66a85970a5bda2e1389cfa498d1,/*/*[2]/*[2],,single,,act,AMENDS FOR LADIES.,675,90213,FINIS.,act:AMENDS FOR LADIES. | act:Actus secundi Scaena prima. | act:Actus tertius. | act:Actus quarti Scaena prima.,A Wife the happiest state? It cannot be.,Since each of you hath chang'd to be a wife.,A00723,,658,356,798,Amends for Ladies,"Field, Nathan",comedy,Adult Professional;Professional;Boys Professional,1618,False,,,,,,798,658,1618,original DEEP row,,1618,1618.,ok,tcp_1to1,1.0,,confirmed_auto,primary,proposed,,,,1618,
unit_map-2026-09-08.v16,A00725,A00725,3fabbc71d45a413bb809e6d3b706e05014c82ad85b96a49bd9b5649989124ed9,/*/*[2]/*[2],,single,,act;scene;song,A Woman's a Weather-cocke.,712,82833,FINIS.,"act:Actus primus, | scene:scen. prima. | act:Actus secundus. | scene:Scen prima.","WHereas you write, my fortunes and my birth","Done and vndone, and done in twelue short howers.",A00725,,575,299,697,A Woman Is a Weathercock,"Field, Nathan",comedy,Boys Professional;Professional,1612,False,,,,,,697,575,1612,original DEEP row,,1612,1612.,ok,tcp_1to1,1.0,,confirmed_auto,primary,proposed,,,,1612,
unit_map-2026-09-08.v16,A00760,A00760,970d8db9196d40d123d8bdc10f650ffa9bce2bada3523923e825a90887d5939f,/*/*[2]/*[2],,single,,play;scene;song,"Mercury, conducting the Ghosts of Brennus and Camillus, in compleate armour, and with swords drawne.",349,93852,FINIS.,act:Act. 1. | scene:Scen. 1. | scene:Act. 1. Scen. 2. | scene:Act. 1. Scen. 3.,"As in the vaults of this big-bellied earth,","Nec Lusisse pudet, sed non incidere Ludum.",A00760,,819,482,1005,Fuimus Troes (The True Trojans),"Fisher, Jasper",history,University/Inns of Court;Nonprofessional,1633,False,,,,,,1005,819,1633,original DEEP row,,1633,1633.,ok,tcp_1to1,1.0,,confirmed_auto,primary,proposed,,,,1633,
unit_map-2026-09-08.v16,A00958,A00958,6c17e67faf4b0db20d7ddf45d4a0c7c53e99e0416b7bbee7cd4eaccc551f76b4,/*/*[2]/*[2],,single,,scene;song,"The drinking Song, to the second Act.",791,99795,Finis. || FINIS.,scene:THE BLOODY BROTHER. | scene:Act II. Scene I. | scene:Act II. Scene II. | scene:Act II. Scene III.,"Drink to day and drowne all sorrow,",May his Example in our Rule raise good.,A00958,,935,565,1114,"The Bloody Brother (Rollo, Duke of Normandy)","Fletcher, JohnField, NathanMassinger, Philip",tragedy,Adult Professional;Professional,1639,False,,,,,,1114,935,1639,original DEEP row,,1639,1639.,ok,tcp_1to1,1.0,,confirmed_auto,primary,proposed,,,,1639,
unit_map-2026-09-08.v16,A00959,A00959,036e256b7ce45a66ab7838cd2366ace8686df6cd4957478f946d25a62eb4d187,/*/*[2]/*[2],,single,,scene,THE TRAGOEDY OF ROLLO Duke of NORMANDY.,792,99355,Finis. || FINIS.,scene:ACTUS 1. SCENA 1. | scene:SCENA 2. | scene:SCENA 3. | scene:SCENA. 4.,THe brothers then are met?,May his example in our rule raise good.,A00959,,936,565,1115,"The Bloody Brother (Rollo, Duke of Normandy)","Fletcher, JohnField, NathanMassinger, Philip",tragedy,Adult Professional;Professional,1640,False,,,,,,1115,936,1640,original DEEP row,,1640,Anno 1640.,ok,tcp_1to1,1.0,,confirmed_auto,primary,proposed,,,,1640,
unit_map-2026-09-08.v16,A00960,A00960,cda4834c298dd831de20e79205f3d8fded99165ec0807039b3ac8f441467e065,/*/*[2]/*[2],,single,,epilogue;scene,The Elder Brother. A Comedie.,740,99714,Finis Actus primi. || FINIS.,act:The Elder Brother. A Comedie. | scene:Actus I. Scoena I. | scene:Actus I. Scoena II. | scene:Actus 2. Scoena 1.,"NAy, I must walke you farther.",The Poet and the Player meanes to live.,A00960,,865,515,1046,The Elder Brother,"Fletcher, JohnMassinger, Philip",comedy,Adult Professional;Professional,1637,False,,,,,,1046,865,1637,original DEEP row,,1637,1637.,ok,tcp_1to1,1.0,,confirmed_auto,primary,proposed,,,,1637,
unit_map-2026-09-08.v16,A00962,A00962,244b500964c9cf76558d9b206163f2abdacf104b45af0d44f7da2f22e9daa6b0,/*/*[2]/*[2],,single,,scene,The faithfull Shepheardesse.,341,103914,FINIS.,"act:The faithfull Shepheardesse. | scene:Actus primi, Scena prima. | scene:Actus secundus Scena prima. | scene:Actus secundus Scena quarta.","HAile holy earth, whose colde armes do embrace",The Pastorall of the faithfull Shepheardesse.,A00962,,555,287,675,The Faithful Shepherdess,"Fletcher, John",pastoral; tragicomedy,Boys Professional;Professional;Adult Professional,1610,False,,,,,,675,555,1610,original DEEP row,,1610,[1610?],ok,tcp_1to1,1.0,,confirmed_auto,primary,proposed,,,,1610,
unit_map-2026-09-08.v16,A00966,A00966,e6a5ffb5bc8d1f0dd601a1065ee4fea92d65ba5795df9fb262b02b9f2c10bb47,/*/*[2]/*[2],,single,,act;scene,"THE NIGHT-VVALKER: OR, The little Theefe.",1045,100758,FINIS.,"scene:Actus primus, Scena prima | act:Actus Secundus. | act:Actus Tertius. | act:Actus Quartus.",IAcke.,Is owing to this pretty little Theese.,A00966,,947,574,1127,"The Night Walker, or The Little Thief","Fletcher, JohnShirley, James",comedy,Adult Professional;Professional,1640,False,,,,,,1127,947,1640,original DEEP row,,1640,1640.,ok,tcp_1to1,1.0,,confirmed_auto,primary,proposed,,,,1640,
unit_map-2026-09-08.v16,A00967,A00967,2d9d8cf04abe441281f609605c76b86bef05e342212892d9cf8aee52dae0336a,/*/*[2]/*[2],,single,,act_and_scene,RVLE A WIFE and have a wife.,891,91066,FINIS.,,ARe your companies full Coronell?,Makes women beautifull and envie blinde.,A00967,,985,598,1152,Rule a Wife and Have a Wife,"Fletcher, John",comedy,Adult Professional;Professional,1640,False,,,,,,1152,985,1640,original DEEP row,,1640,Anno 1640.,ok,tcp_1to1,1.0,,confirmed_auto,primary,proposed,,,,1640,
unit_map-2026-09-08.v16,A00968,A00968,d830e55c468010e69de4bc57b54cf650c5bdd2bce7ba862cb136efc4613281fe,/*/*[2]/*[2],,single,,scene,THE TRAGEDIE OF THIERRIE AND THEODORET.,804,99342,FINIS.,scene:Act. 1. Scoe. 1. | scene:Act. 1. Scoe. 2. | scene:Act. 2. Scoe. 1. | scene:Act. 3. Scoe 1.,TAxe me with these hot tainters?,"Shall find that vertue liues in good, not glory.",A00968,,691,368,826,Thierry and Theodoret,"AnonymousFletcher, JohnMassinger, Philip",tragedy,Adult Professional;Professional,1621,False,,,,,,826,691,1621,original DEEP row,,1621,1621.,ok,tcp_1to1,1.0,,confirmed_auto,primary,proposed,,,,1621,
