unit_id,parent_unit,tcp,source_file,source_sha256,unit_node_path,unit_child_range,kind,div_type,div_n,head,trailer_text,missing_gaps,missing_extent,n_sp,n_lines,chars_in_sp,chars_outside_sp_unclassified,div_paths_present,dropped_stage,dropped_note,has_front,has_back,front_div_types,well_formed,rule_version
A00456,,A00456,A00456.xml,af00096c737946cdefbb368737847b5ef45f1a6776906a57dab18aa16fd91743,/*/*[2]/*[2],,single,,,Sing heere.,¶ The end of the ſong. || The end of the ſong.,0,,131,816,36884,0,play;song,42,1,True,False,prologue;title_page,True,extract-2026-09-08.13
A00471,,A00471,A00471.xml,ebd282118107eed760a899f4acd3b93eaa8d7fdbc552f7465f85ade3572b0671,/*/*[2]/*[2],,single,,,,,0,,210,921,33716,0,morality_play,2,0,True,True,frontispiece;title_page,True,extract-2026-09-08.13
A00723,,A00723,A00723.xml,ade0bc5e6851c3b9ac7a3c36a28c2401d995b66a85970a5bda2e1389cfa498d1,/*/*[2]/*[2],,single,,,AMENDS FOR LADIES.,FINIS.,0,,675,1681,90213,0,act,119,0,True,False,title_page,True,extract-2026-09-08.13
A00725,,A00725,A00725.xml,3fabbc71d45a413bb809e6d3b706e05014c82ad85b96a49bd9b5649989124ed9,/*/*[2]/*[2],,single,,,A Woman's a Weather-cocke.,FINIS.,0,,712,1718,80746,2087,act;scene;song,113,0,True,False,dedication;dramatis_personae;encomium;title_page;to_the_reader,True,extract-2026-09-08.13
A00760,,A00760,A00760.xml,970d8db9196d40d123d8bdc10f650ffa9bce2bada3523923e825a90887d5939f,/*/*[2]/*[2],,single,,,"Mercury, conducting the Ghosts of Brennus and Camillus, in compleate armour, and with swords drawne.",FINIS.,0,,349,2309,85864,7988,play;scene;song,158,0,True,False,dramatis_personae;title_page,True,extract-2026-09-08.13
A00958,,A00958,A00958.xml,6c17e67faf4b0db20d7ddf45d4a0c7c53e99e0416b7bbee7cd4eaccc551f76b4,/*/*[2]/*[2],,single,,,"The drinking Song, to the second Act.",Finis. || FINIS.,0,,791,2532,97326,2469,scene;song,79,1,True,False,title_page,True,extract-2026-09-08.13
A00959,,A00959,A00959.xml,036e256b7ce45a66ab7838cd2366ace8686df6cd4957478f946d25a62eb4d187,/*/*[2]/*[2],,single,,,THE TRAGOEDY OF ROLLO Duke of NORMANDY.,Finis. || FINIS.,0,,792,2633,98962,393,scene,83,0,True,False,title_page,True,extract-2026-09-08.13
A00960,,A00960,A00960.xml,cda4834c298dd831de20e79205f3d8fded99165ec0807039b3ac8f441467e065,/*/*[2]/*[2],,single,,,The Elder Brother. A Comedie.,Finis Actus primi. || FINIS.,0,,740,2631,99389,325,epilogue;scene,68,0,True,False,dramatis_personae;prologue;title_page;to_the_reader,True,extract-2026-09-08.13
A00962,,A00962,A00962.xml,244b500964c9cf76558d9b206163f2abdacf104b45af0d44f7da2f22e9daa6b0,/*/*[2]/*[2],,single,,,The faithfull Shepheardesse.,FINIS.,0,,341,2762,100674,3240,scene,109,0,True,False,dedication;encomia;title_page;to_the_reader,True,extract-2026-09-08.13
A00966,,A00966,A00966.xml,e6a5ffb5bc8d1f0dd601a1065ee4fea92d65ba5795df9fb262b02b9f2c10bb47,/*/*[2]/*[2],,single,,,"THE NIGHT-VVALKER: OR, The little Theefe.",FINIS.,0,,1045,2668,100758,0,act;scene,137,0,True,False,dedication;dramatis_personae;title_page,True,extract-2026-09-08.13
A00967,,A00967,A00967.xml,2d9d8cf04abe441281f609605c76b86bef05e342212892d9cf8aee52dae0336a,/*/*[2]/*[2],,single,,,RVLE A WIFE and have a wife.,FINIS.,0,,891,2416,91066,0,act_and_scene,122,0,True,True,prologue;title_page,True,extract-2026-09-08.13
A00968,,A00968,A00968.xml,d830e55c468010e69de4bc57b54cf650c5bdd2bce7ba862cb136efc4613281fe,/*/*[2]/*[2],,single,,,THE TRAGEDIE OF THIERRIE AND THEODORET.,FINIS.,0,,804,2474,99342,0,scene,73,0,True,False,title_page,True,extract-2026-09-08.13
A00969,,A00969,A00969.xml,9dacc606c526b1911543f75405105e8cdad02c26c6a2772048570598734243f2,/*/*[2]/*[2],,single,,,The Two Noble Kinsmen.,,0,,833,3137,115966,1621,scene,101,11,True,True,prologue;title_page,True,extract-2026-09-08.13
A00979,,A00979,A00979.xml,d0474a444590c4dab37911ae1acc18f402aacf159c68e502f7f8907148f004de,/*/*[2]/*[2],,single,,,"SICELIDES,",Finis Actus Primi. || FINIS.,0,,699,2285,97657,10991,epilogue;scene,121,1,True,False,dramatis_personae;prologue;title_page,True,extract-2026-09-08.13
A01046,,A01046,A01046.xml,fdad1e374cc2b90707332d007231e042e2600d426e16711b7bb6920dc50cdbce,/*/*[2]/*[2],,single,,,THE BROKEN HEART.,FINIS.,0,,823,2878,100301,1241,scene;song,113,5,True,False,dedication;dramatis_personae;prologue;title_page,True,extract-2026-09-08.13
A01049,,A01049,A01049.xml,d704384e8400f269672bd2bdc2021cf22b1809d0ba9af3011fa71e96a0bf19eb,/*/*[2]/*[2],,single,,,ACT. I.,FINIS.,0,,821,2391,97486,0,act,79,0,True,True,title_page,True,extract-2026-09-08.13
A01052,,A01052,A01052.xml,345c4872c9732abb54dcbe3d9859ec4da3ccf8303b37c3de36320d807be88511,/*/*[2]/*[2],,single,,,PROLOGVE.,Mr. Bird.,0,,734,2505,90202,2027,act;epilogue;prologue,73,0,True,False,dedication;dramatis_personae;title_page,True,extract-2026-09-08.13
