view,edition_id,file,tcp,ep_commit,ep_sha256,n_nodes,aligned_exact,aligned_fuzzy,aligned_gapfill,aligned_merged,span_fallback,unaligned_fallback,tokens,reg_available,reg_applied,reg_rejected_garbage,reg_rejected_name_lowercased,tcp_letter_gaps_in_aligned_nodes,tcp_word_gaps_in_aligned_nodes,ep_gaps_in_aligned_blocks,node_cov_pct,char_cov_pct,n_chars_v3_file,n_chars_reg_file,sha256_v3,sha256_reg,hash_mismatch
texts_analysis_en,114,114__A00456.txt,A00456,34b24d1ee3c3d586131b3a9234ee92efda75a16a,3364a444977d889e3c29ed4176ef7368098ea856c0325871dd00044d9e790591,854,775,74,0,0,3,2,7487,1685,1675,1,9,31,0,0,99.41,99.55,39758,39188,cf2b71c9b26ed42aa146dea959c433244662012fdafab09b71aa7fca1fc9d35c,e91da17afa746c7065ff6ce1c4bd73ef63fdbb618475a13f67516e5f22166315,0
texts_no_prologue_epilogue,114,114__A00456.txt,A00456,34b24d1ee3c3d586131b3a9234ee92efda75a16a,3364a444977d889e3c29ed4176ef7368098ea856c0325871dd00044d9e790591,816,750,62,0,0,2,2,7110,1611,1602,1,8,20,0,0,99.51,99.61,37699,37141,70e75fa1ffae5ae6becc5fffbc1d0e6a40e2e8937bc75c9ed588e0ea272f7651,08e485fbffb941aee36cb29974c6922090336d4802bd3d05918704c1d8ac3e9a,0
texts_analysis_en,9,9__A00471.txt,A00471,34b24d1ee3c3d586131b3a9234ee92efda75a16a,76ed1fbcc5fe2a50287c38f0269aad9cbb51f4a18fbff98f86321bb100d39e41,921,873,47,0,0,1,0,6811,2318,2305,0,13,4,1,0,99.89,99.92,34636,33678,ccdef9aa4c79d18a49a07d4874d33e23038b79a9a30c836f1590d40b36fb2282,40ab49bf228d742b216f0dd24ae41e4be2ecbbdc99b59899b49f66ba686b340f,0
texts_no_prologue_epilogue,9,9__A00471.txt,A00471,34b24d1ee3c3d586131b3a9234ee92efda75a16a,76ed1fbcc5fe2a50287c38f0269aad9cbb51f4a18fbff98f86321bb100d39e41,921,873,47,0,0,1,0,6811,2318,2305,0,13,4,1,0,99.89,99.92,34636,33678,ccdef9aa4c79d18a49a07d4874d33e23038b79a9a30c836f1590d40b36fb2282,40ab49bf228d742b216f0dd24ae41e4be2ecbbdc99b59899b49f66ba686b340f,0
texts_analysis_en,798,798__A00723.txt,A00723,34b24d1ee3c3d586131b3a9234ee92efda75a16a,3cceb0ac28a999eea065f0252c73f2cdfcb8066294a60e407e0e7b86f8885e18,1681,1532,140,2,0,7,0,17770,3567,3561,0,6,146,11,0,99.58,99.69,91893,90583,95e88fda498e33c7a71405ab972a202fd8f82d8315e536b1d602cc6c5a03b367,1f5e7a017769ae5fae0fa2d564bb9e56a2f17bbdee5164b0dd9d4bb7fa7d34a4,0
texts_no_prologue_epilogue,798,798__A00723.txt,A00723,34b24d1ee3c3d586131b3a9234ee92efda75a16a,3cceb0ac28a999eea065f0252c73f2cdfcb8066294a60e407e0e7b86f8885e18,1681,1532,140,2,0,7,0,17770,3567,3561,0,6,146,11,0,99.58,99.69,91893,90583,95e88fda498e33c7a71405ab972a202fd8f82d8315e536b1d602cc6c5a03b367,1f5e7a017769ae5fae0fa2d564bb9e56a2f17bbdee5164b0dd9d4bb7fa7d34a4,0
texts_analysis_en,697,697__A00725.txt,A00725,34b24d1ee3c3d586131b3a9234ee92efda75a16a,9e0d716f62f2d8fd2a70af69aee2263a5a8e2a8751e495405c83b3efa7262dbb,1718,1672,45,0,0,0,1,16256,3175,3150,0,25,16,1,0,99.94,99.93,84550,83299,47eb4656440a592e9f513f64081ade72560ddfdcd544cfcc164451e9f6c7d42a,d26a17c0c8d9c37d49ee18d81f1202fd28dd674ba0e820e30a9fc7a5dcec415a,0
texts_no_prologue_epilogue,697,697__A00725.txt,A00725,34b24d1ee3c3d586131b3a9234ee92efda75a16a,9e0d716f62f2d8fd2a70af69aee2263a5a8e2a8751e495405c83b3efa7262dbb,1718,1672,45,0,0,0,1,16256,3175,3150,0,25,16,1,0,99.94,99.93,84550,83299,47eb4656440a592e9f513f64081ade72560ddfdcd544cfcc164451e9f6c7d42a,d26a17c0c8d9c37d49ee18d81f1202fd28dd674ba0e820e30a9fc7a5dcec415a,0
texts_analysis_en,1005,1005__A00760.txt,A00760,34b24d1ee3c3d586131b3a9234ee92efda75a16a,f3185673c6a937e8d301705e7f0735f474d69088a21996b9da223307f9ffeacf,2309,2301,8,0,0,0,0,16663,3811,3774,0,37,0,0,0,100.0,100.0,96160,94083,1ba3f61fded44e08a2b703602825d35ed17e4e3e14b022b7d2400cdf9e9481ef,0dc89123af432e51e28c6e9a931152f92276b7ad7513df2a8074a2123d873456,0
texts_no_prologue_epilogue,1005,1005__A00760.txt,A00760,34b24d1ee3c3d586131b3a9234ee92efda75a16a,f3185673c6a937e8d301705e7f0735f474d69088a21996b9da223307f9ffeacf,2309,2301,8,0,0,0,0,16663,3811,3774,0,37,0,0,0,100.0,100.0,96160,94083,1ba3f61fded44e08a2b703602825d35ed17e4e3e14b022b7d2400cdf9e9481ef,0dc89123af432e51e28c6e9a931152f92276b7ad7513df2a8074a2123d873456,0
