source_sha256,node_path,unit_id,seq,div_path,container_node_path,text_sha256,decision,text_role,language,exclusion_category,basis,source,status,decided_on,decision_basis_type,historical_performance_status,xml_language_raw,supplementary_group,relation,translation_of
e4a56dd9a99cfc52b3868be34bf482d0d6d7f94bcfbb55b4c2b3a7f7c0d6f9f0,/*/*[2]/*[2]/*[6]/*[3],A01506,440,poem,/*/*[2]/*[2]/*[6],2257d338ec3cd84a3d43957e597b1d4f977460806d0d0835175a98d442717fd6,supplementary,poem,la,unclassified,"SUPPLEMENTARY (policy_decisions.csv #7, 2026-09-08; was deferred): Original preservation and language identification do not establish performance function. The v9 basis explicitly says performance function remains unverified. Restore pending function unless separately evidenced and reviewed; preserve the source in all cases. | CORRECTION (ChatGPT v9): language la is recorded, but ""keep the original"" is not a performance-function confirmation - function decision returned to pending until group-level evidence exists. | DEFERRED TO GRACE 2026-09-07: Latin poems Ad Solem / Ad Civitatem (Norwich 1578) - performance function unverified; language la, so no effect on the English views either way","ChatGPT v9 review, norwich_57_function_status_corrections.json sha256 f2581c1f53a8 | policy_decisions.csv 2026-09-08 (ChatGPT v2 close-out proposal forwarded by Grace); applied by Claude 2026-09-08",applied,2026-09-08,,,lat,Norwich 1578 Latin poems Ad Solem and Ad Civitatem with printed English translations,,
e4a56dd9a99cfc52b3868be34bf482d0d6d7f94bcfbb55b4c2b3a7f7c0d6f9f0,/*/*[2]/*[2]/*[6]/*[4],A01506,441,poem,/*/*[2]/*[2]/*[6],158e601000e9840a0dc7cbe8f8d2db2f2b84fc74d1b50f5fdad54fb46db8fa62,supplementary,poem,la,unclassified,"SUPPLEMENTARY (policy_decisions.csv #7, 2026-09-08; was deferred): Original preservation and language identification do not establish performance function. The v9 basis explicitly says performance function remains unverified. Restore pending function unless separately evidenced and reviewed; preserve the source in all cases. | CORRECTION (ChatGPT v9): language la is recorded, but ""keep the original"" is not a performance-function confirmation - function decision returned to pending until group-level evidence exists. | DEFERRED TO GRACE 2026-09-07: Latin poems Ad Solem / Ad Civitatem (Norwich 1578) - performance function unverified; language la, so no effect on the English views either way","ChatGPT v9 review, norwich_57_function_status_corrections.json sha256 f2581c1f53a8 | policy_decisions.csv 2026-09-08 (ChatGPT v2 close-out proposal forwarded by Grace); applied by Claude 2026-09-08",applied,2026-09-08,,,lat,Norwich 1578 Latin poems Ad Solem and Ad Civitatem with printed English translations,,
e4a56dd9a99cfc52b3868be34bf482d0d6d7f94bcfbb55b4c2b3a7f7c0d6f9f0,/*/*[2]/*[2]/*[6]/*[5],A01506,442,poem,/*/*[2]/*[2]/*[6],7171833bae5bcdab0b777bca9da3a9e50e756113855b9d9b656e3ee86656e160,supplementary,poem,la,unclassified,"SUPPLEMENTARY (policy_decisions.csv #7, 2026-09-08; was deferred): Original preservation and language identification do not establish performance function. The v9 basis explicitly says performance function remains unverified. Restore pending function unless separately evidenced and reviewed; preserve the source in all cases. | CORRECTION (ChatGPT v9): language la is recorded, but ""keep the original"" is not a performance-function confirmation - function decision returned to pending until group-level evidence exists. | DEFERRED TO GRACE 2026-09-07: Latin poems Ad Solem / Ad Civitatem (Norwich 1578) - performance function unverified; language la, so no effect on the English views either way","ChatGPT v9 review, norwich_57_function_status_corrections.json sha256 f2581c1f53a8 | policy_decisions.csv 2026-09-08 (ChatGPT v2 close-out proposal forwarded by Grace); applied by Claude 2026-09-08",applied,2026-09-08,,,lat,Norwich 1578 Latin poems Ad Solem and Ad Civitatem with printed English translations,,
e4a56dd9a99cfc52b3868be34bf482d0d6d7f94bcfbb55b4c2b3a7f7c0d6f9f0,/*/*[2]/*[2]/*[6]/*[6],A01506,443,poem,/*/*[2]/*[2]/*[6],d0ec58f8bef40a7cfc8e8efc101cbd8c876afa8961104a7fecb26ecb8ed3f37e,supplementary,poem,la,unclassified,"SUPPLEMENTARY (policy_decisions.csv #7, 2026-09-08; was deferred): Original preservation and language identification do not establish performance function. The v9 basis explicitly says performance function remains unverified. Restore pending function unless separately evidenced and reviewed; preserve the source in all cases. | CORRECTION (ChatGPT v9): language la is recorded, but ""keep the original"" is not a performance-function confirmation - function decision returned to pending until group-level evidence exists. | DEFERRED TO GRACE 2026-09-07: Latin poems Ad Solem / Ad Civitatem (Norwich 1578) - performance function unverified; language la, so no effect on the English views either way","ChatGPT v9 review, norwich_57_function_status_corrections.json sha256 f2581c1f53a8 | policy_decisions.csv 2026-09-08 (ChatGPT v2 close-out proposal forwarded by Grace); applied by Claude 2026-09-08",applied,2026-09-08,,,lat,Norwich 1578 Latin poems Ad Solem and Ad Civitatem with printed English translations,,
e4a56dd9a99cfc52b3868be34bf482d0d6d7f94bcfbb55b4c2b3a7f7c0d6f9f0,/*/*[2]/*[2]/*[6]/*[7],A01506,444,poem,/*/*[2]/*[2]/*[6],d076b224ea9d3a6f9db829495d0d5bb06caa831568c5f88ff536c533c03f0c42,supplementary,poem,la,unclassified,"SUPPLEMENTARY (policy_decisions.csv #7, 2026-09-08; was deferred): Original preservation and language identification do not establish performance function. The v9 basis explicitly says performance function remains unverified. Restore pending function unless separately evidenced and reviewed; preserve the source in all cases. | CORRECTION (ChatGPT v9): language la is recorded, but ""keep the original"" is not a performance-function confirmation - function decision returned to pending until group-level evidence exists. | DEFERRED TO GRACE 2026-09-07: Latin poems Ad Solem / Ad Civitatem (Norwich 1578) - performance function unverified; language la, so no effect on the English views either way","ChatGPT v9 review, norwich_57_function_status_corrections.json sha256 f2581c1f53a8 | policy_decisions.csv 2026-09-08 (ChatGPT v2 close-out proposal forwarded by Grace); applied by Claude 2026-09-08",applied,2026-09-08,,,lat,Norwich 1578 Latin poems Ad Solem and Ad Civitatem with printed English translations,,
e4a56dd9a99cfc52b3868be34bf482d0d6d7f94bcfbb55b4c2b3a7f7c0d6f9f0,/*/*[2]/*[2]/*[6]/*[8],A01506,445,poem,/*/*[2]/*[2]/*[6],d134957e4385ef6888521154d1a402941d4f90c3c0b141992b6ae665259cf7ef,supplementary,poem,la,unclassified,"SUPPLEMENTARY (policy_decisions.csv #7, 2026-09-08; was deferred): Original preservation and language identification do not establish performance function. The v9 basis explicitly says performance function remains unverified. Restore pending function unless separately evidenced and reviewed; preserve the source in all cases. | CORRECTION (ChatGPT v9): language la is recorded, but ""keep the original"" is not a performance-function confirmation - function decision returned to pending until group-level evidence exists. | DEFERRED TO GRACE 2026-09-07: Latin poems Ad Solem / Ad Civitatem (Norwich 1578) - performance function unverified; language la, so no effect on the English views either way","ChatGPT v9 review, norwich_57_function_status_corrections.json sha256 f2581c1f53a8 | policy_decisions.csv 2026-09-08 (ChatGPT v2 close-out proposal forwarded by Grace); applied by Claude 2026-09-08",applied,2026-09-08,,,lat,Norwich 1578 Latin poems Ad Solem and Ad Civitatem with printed English translations,,
e4a56dd9a99cfc52b3868be34bf482d0d6d7f94bcfbb55b4c2b3a7f7c0d6f9f0,/*/*[2]/*[2]/*[6]/*[9],A01506,446,poem,/*/*[2]/*[2]/*[6],3fd3f5a85848e89aa57d915a4101d15ced8b6a774fd8f4fb09476d7611b71e2f,supplementary,poem,la,unclassified,"SUPPLEMENTARY (policy_decisions.csv #7, 2026-09-08; was deferred): Original preservation and language identification do not establish performance function. The v9 basis explicitly says performance function remains unverified. Restore pending function unless separately evidenced and reviewed; preserve the source in all cases. | CORRECTION (ChatGPT v9): language la is recorded, but ""keep the original"" is not a performance-function confirmation - function decision returned to pending until group-level evidence exists. | DEFERRED TO GRACE 2026-09-07: Latin poems Ad Solem / Ad Civitatem (Norwich 1578) - performance function unverified; language la, so no effect on the English views either way","ChatGPT v9 review, norwich_57_function_status_corrections.json sha256 f2581c1f53a8 | policy_decisions.csv 2026-09-08 (ChatGPT v2 close-out proposal forwarded by Grace); applied by Claude 2026-09-08",applied,2026-09-08,,,lat,Norwich 1578 Latin poems Ad Solem and Ad Civitatem with printed English translations,,
e4a56dd9a99cfc52b3868be34bf482d0d6d7f94bcfbb55b4c2b3a7f7c0d6f9f0,/*/*[2]/*[2]/*[6]/*[10],A01506,447,poem,/*/*[2]/*[2]/*[6],eba9a2bab929a787bdf094e2b5f71b8acb72a5574f87ae1e5e47a4a82315e2fc,supplementary,poem,la,unclassified,"SUPPLEMENTARY (policy_decisions.csv #7, 2026-09-08; was deferred): Original preservation and language identification do not establish performance function. The v9 basis explicitly says performance function remains unverified. Restore pending function unless separately evidenced and reviewed; preserve the source in all cases. | CORRECTION (ChatGPT v9): language la is recorded, but ""keep the original"" is not a performance-function confirmation - function decision returned to pending until group-level evidence exists. | DEFERRED TO GRACE 2026-09-07: Latin poems Ad Solem / Ad Civitatem (Norwich 1578) - performance function unverified; language la, so no effect on the English views either way","ChatGPT v9 review, norwich_57_function_status_corrections.json sha256 f2581c1f53a8 | policy_decisions.csv 2026-09-08 (ChatGPT v2 close-out proposal forwarded by Grace); applied by Claude 2026-09-08",applied,2026-09-08,,,lat,Norwich 1578 Latin poems Ad Solem and Ad Civitatem with printed English translations,,
e4a56dd9a99cfc52b3868be34bf482d0d6d7f94bcfbb55b4c2b3a7f7c0d6f9f0,/*/*[2]/*[2]/*[6]/*[11],A01506,448,poem,/*/*[2]/*[2]/*[6],4974f4ebb34a1ebe8d8e36830e727c837f4e74b75d082dc40a04d4e732e26ecd,supplementary,poem,la,unclassified,"SUPPLEMENTARY (policy_decisions.csv #7, 2026-09-08; was deferred): Original preservation and language identification do not establish performance function. The v9 basis explicitly says performance function remains unverified. Restore pending function unless separately evidenced and reviewed; preserve the source in all cases. | CORRECTION (ChatGPT v9): language la is recorded, but ""keep the original"" is not a performance-function confirmation - function decision returned to pending until group-level evidence exists. | DEFERRED TO GRACE 2026-09-07: Latin poems Ad Solem / Ad Civitatem (Norwich 1578) - performance function unverified; language la, so no effect on the English views either way","ChatGPT v9 review, norwich_57_function_status_corrections.json sha256 f2581c1f53a8 | policy_decisions.csv 2026-09-08 (ChatGPT v2 close-out proposal forwarded by Grace); applied by Claude 2026-09-08",applied,2026-09-08,,,lat,Norwich 1578 Latin poems Ad Solem and Ad Civitatem with printed English translations,,
e4a56dd9a99cfc52b3868be34bf482d0d6d7f94bcfbb55b4c2b3a7f7c0d6f9f0,/*/*[2]/*[2]/*[6]/*[12],A01506,449,poem,/*/*[2]/*[2]/*[6],73090204c59eeb079c61eb0bdbe31681abe9b285607e26003a795631496ced5a,supplementary,poem,la,unclassified,"SUPPLEMENTARY (policy_decisions.csv #7, 2026-09-08; was deferred): Original preservation and language identification do not establish performance function. The v9 basis explicitly says performance function remains unverified. Restore pending function unless separately evidenced and reviewed; preserve the source in all cases. | CORRECTION (ChatGPT v9): language la is recorded, but ""keep the original"" is not a performance-function confirmation - function decision returned to pending until group-level evidence exists. | DEFERRED TO GRACE 2026-09-07: Latin poems Ad Solem / Ad Civitatem (Norwich 1578) - performance function unverified; language la, so no effect on the English views either way","ChatGPT v9 review, norwich_57_function_status_corrections.json sha256 f2581c1f53a8 | policy_decisions.csv 2026-09-08 (ChatGPT v2 close-out proposal forwarded by Grace); applied by Claude 2026-09-08",applied,2026-09-08,,,lat,Norwich 1578 Latin poems Ad Solem and Ad Civitatem with printed English translations,,
