unit_id,title_deep,play_type_deep,kept_long_nodes_outside_sp(>=160 chars),chars,pct_of_unit_chars,div_paths,sample_1,sample_2,decision,basis
A01506,The Entertainment at Norwich (Royal Entry of Queen Elizabeth),Occasional;Nonprofessional,34,57433,67.3,account;account>oration;account>pageant;account>pageant>account;account>pageant>oration;account>pageant>translation;acco,ON Saturday being the. xvj. of August. 1578. and in the twentith yéere of the raigne of our most gratious soue,SI nobis ab Optimo Maximo concederetur optio quid rerum humanarum nunc potissimum vellemus: nihil duceremus an,,
A20069,The Magnificent Entertainment Given to King James (The Royal Entry of King James I into London),Occasional;Nonprofessional,120,54770,73.5,part;part>section;part>section>oration;part>section>speech;part>section>subsection;part>speech,"THe sorrow and amazement, that like an earthquake began to shake the distempered body of this Ilād (by reason","At the length Expectation (who is euer waking) and that so long was great, grew neare the time of her deliuery",,
A01848,The Entertainment of the French Ambassadors (The Fortress of Perfect Beauty) (Tilt of the Foster-Children of Desire),Occasional;Nonprofessional,29,41720,96.4,conclusion;text>part,"TO beginne particularly to wright of these attempts, and briefly to runne ouer ache suerall action, the cause ","The Gallary or place at the end of the Tiltyard adioining to her Maiesties house at Whiteball, whereas her per",,
A18729,The Entertainment in Suffolk and Norfolk (Royal Entry of Queen Elizabeth into Norwich),Occasional;Nonprofessional,16,32021,36.9,entertainment;entertainment>part;entertainment>part>section>subsection;list_of_knights;summary_of_royal_Progress,"TO wright of the receiuing of hir highnesse into Suffolke and Norffolke in euery poynte, as matter may moue me","Nowe to returne to the Shewes and purposed matter penned out by me (to shorten the season, and moue pastime to",,
A02732,Arches of Triumph (The Royal Entry of King James I into London),Occasional;Nonprofessional,44,23124,61.2,section;section>subsection,THese fiue Triumphall Arches were first taken in hand in the beginning of Aprill 1603. presently after his Mai,"THE first egme was erected in Fanchurch-streete, the backe of it so learning on the East ende of the Church, t",,
A04654,"Hymenaei, or the Solemnities of Masque and Barriers at a Marriage (Truth versus Opinion)",Occasional;Nonprofessional,33,18698,44.7,text,"IT is a noble and iust advantage, that the things subjected to Vnderstanding have of those which are objected ","For these Mens palates, let not mee answere, O Muses. It is not my fault, if I fill them out Nectar, and they ",,
A07903,Himatia-Poleos: The Triumphs of Old Drapery,Occasional;Nonprofessional,19,17636,82.0,pageant_play;pageant_play>conclusion;pageant_play>speech,"IN euery well-gouerned Kingdome and Common-wealth, the chiefeſt Citie and Citizens therein, haue euermore held","To approoue the ſociety of Drapers of the firſt, when (as yet) there was none other: it is auouched by William",,
A03233,"Londini Status Pacatus, or London's Peaceable Estate",Occasional;Nonprofessional,16,15443,58.1,text;text>show;text>show>speech,"NOt to insist upon the Antiquity, Nobility, nor the first foundation and scituation of this glorious City, com","But from the City, I come now to the particular Company of the Drapers, one of the prime members thereof; whic",,
A03019,London's Love to Prince Henry (Water Pageant of Corinea and Amphion),Occasional;Nonprofessional,38,15214,95.9,triumph;triumph>part;triumph>part>speech,IT hath euer bin the nature of this honorable & famous Cittie (matchleſſe for her loue and loyaltie in all age,"Whereof no better exemplarie rule can be made, then the late apparant teſtimonie of Londons Loue to Royall Pri",,
A07494,"Civitatis Amor (Water Pageant for Prince Charles: London and Neptune, Hope and Peace)",Occasional;Nonprofessional,18,14415,80.2,text;text>part,"HIS Maieſtie, as well to ſhew the bountie of his affection towards his Royall Sonne, as to ſettle in the heart","THe dayes Triumph ended, to the great Honour of the City, and content of his Highneſſe, who out of the goodneſ",,
A03229,Londini Emporia (London's Markets),Occasional;Nonprofessional,17,14366,61.7,text,"MErcatura, i. Merchandise, the Greekes call Emporia, and Empors a Merchant, the Hebrewes Meker. From hence (it","Eight Offices of Piety are in a Merchant required. 1. Rectitudo conscientiae, Vprightnesse of Conscience, whic",,
B07101,The Triumph of Peace,Occasional;Nonprofessional;University/Inns of Court,36,14239,45.8,masque>masque_proper;masque>narrative_description,"AT Elie and Hatton-Houſes, the Gentlemen and their Aſſiſtants met, and in this manner prepard for the Court. T","After him rode Opinion and Confidence together, Opinion in an old faſhioned Doublet of blacke Velvet, and trun",,
