TCP,record_type,id,deep_id,edition_id,variant_edition_id,play_edition,book_edition,work_id,title_id,title.1,author.1,authors_display,genre_brit_filter,play_type_filter,in_collection_id,collection_contains,total_editions,year_int,date_first_publication,greg_full,in_collection,metadata_repaired
A00471,Single-Play Playbook,4,7.0,9,2467,4.0,4,4,4,The Summoning of Everyman,Anonymous,Anonymous,not in BritDrama,Interlude;Nonprofessional,,,4 quartos,1534,1518,4d,,False
A10439,Single-Play Playbook,6,9.0,11,2469,1.0,1,6,6,The Nature of the Four Elements (Natura Naturata),"Rastell, John","Rastell, John",not in BritDrama,Interlude;Nonprofessional,,,1 octavo,1520,1520,6a,,False
A10438,Single-Play Playbook,10,11.0,15,2471,1.0,1,10,10,The Beauty and Good Properties of Women (Calisto and Melebea) (Celestina),"Rastell, John","Rastell, John (?)",not in BritDrama,Interlude;Nonprofessional,,,1 folio,1525,1525,10a,,False
A03175,Single-Play Playbook,14,15.0,19,2286,1.0,1,14,14,"The Pardoner and the Friar, the Curate, and Neighbor Pratte","Heywood, John","Heywood, John (?)",not in BritDrama,Interlude;Nonprofessional,,,1 folio,1533,1533,14a,,False
A03181,Single-Play Playbook,16,18.0,22,2288,2.0,2,15,16,The Play of the Weather,"Heywood, John","Heywood, John",comedy,Interlude;Nonprofessional,,,"1 folio, 3 quartos",1544,1533,15b,,False
A03179,Single-Play Playbook,17,21.0,25,2291,1.0,1,16,17,A Play of Love,"Heywood, John","Heywood, John",not in BritDrama,University/Inns of Court;Nonprofessional,,,"1 folio, 1 quarto",1534,1534,16a,,False
A04054,Single-Play Playbook,21,26.0,32,2295,3.0,3,20,21,The Interlude of Youth,Anonymous,Anonymous,not in BritDrama,Interlude;Nonprofessional,,,3 quartos,1565,1530,20c,,False
A03177,Single-Play Playbook,22,27.0,33,2296,1.0,1,21,22,The Four P's,"Heywood, John","Heywood, John",not in BritDrama,Interlude;Nonprofessional,,,3 quartos,1544,1544,21a,,False
A02906,Single-Play Playbook,24,31.0,37,2478,1.0,1,22,24,The Chief Promises of God unto Man (God's Promises),"Bale, John","Bale, John",biblical play,Interlude;Nonprofessional,,,2 quartos,1547,1547,22a,,False
A02658,Single-Play Playbook,25,33.0,39,2479,1.0,1,23,25,"The Temptation of Our Lord and Saviour, Jesus Christ, by Satan in the Desert","Bale, John","Bale, John",biblical play,Interlude;Nonprofessional,,,1 quarto,1547,1547,23a,,False
