unit_id,edition_id_effective,title_deep,play_type_deep,tokens,en_function_hits,la_function_hits,en_ratio,flag,decision,basis
A09214,1404,Pedantius,Latin;University/Inns of Court;Nonprofessional,20006,773,4193,0.156,NON-ENGLISH?,,
A04632.13.2,769,"The Royal Entertainment of the Two Kings of Great Britain and Denmark (The Entertainment at Theobalds, 1606) (The Hours)",Occasional;Nonprofessional,388,72,37,0.661,mixed?,,
A11911,59,Hercules Furens (Mad Hercules) (Seneca's First Tragedy),Translation;Nonprofessional;Closet/Unacted,21767,5957,923,0.866,,,
A01506,126,The Entertainment at Norwich (Royal Entry of Queen Elizabeth),Occasional;Nonprofessional,14151,5274,596,0.898,,,
A20069,465,The Magnificent Entertainment Given to King James (The Royal Entry of King James I into London),Occasional;Nonprofessional,12842,5773,192,0.968,,,
A04632.11,460,The Coronation Triumph (The Royal Entry of King James I into London),Occasional;Nonprofessional,4030,1838,57,0.97,,,
A72473.2.1.8,847,The Masque of Augurs,Occasional;Nonprofessional,3159,1697,48,0.972,,,
A03804,150,The Misfortunes of Arthur (Certain Devices and Shows Presented to Her Majesty),University/Inns of Court;Nonprofessional,19800,9076,150,0.984,,,
A04632.14.5,661,The Masque of Queens,Occasional;Nonprofessional,3932,1950,28,0.986,,,
A02800,762,"Englishmen for My Money, or A Woman Will Have Her Will",Adult Professional;Professional,21878,11495,152,0.987,,,
A04054,32,The Interlude of Youth,Interlude;Nonprofessional,5017,2820,38,0.987,,,
A20053,913,Britannia's Honor,Occasional;Nonprofessional,4187,1884,25,0.987,,,
A07513,791,The Triumphs of Honor and Industry,Occasional;Nonprofessional,2308,1090,13,0.988,,,
A04632.14.10.0,785,Mercury Vindicated from the Alchemists at Court,Occasional;Nonprofessional,2923,1480,16,0.989,,,
A07395.2.1,27,1 Nature,Interlude;Nonprofessional,10216,5110,57,0.989,,,
A07395.2.2,28,2 Nature,Interlude;Nonprofessional,8231,4330,49,0.989,,,
A08009,396,Summer's Last Will and Testament,Boys Professional;Professional;Adult Professional,16234,8233,88,0.989,,,
A09613,457,Philotus,Closet/Unacted;Nonprofessional,9143,3643,40,0.989,,,
A10439,11,The Nature of the Four Elements (Natura Naturata),Interlude;Nonprofessional,9624,5041,57,0.989,,,
A02738,40,"The Three Laws of Nature, Moses, and Christ, Corrupted by the Sodomites, Pharisees, and Papists",Interlude;Nonprofessional,14672,6866,71,0.99,,,
A02749,41,"The Three Laws of Nature, Moses, and Christ, Corrupted by the Sodomites, Pharisees, and Papists",Interlude;Nonprofessional,14744,7146,72,0.99,,,
A04052,45,Wealth and Health,Interlude;Nonprofessional,7619,3912,41,0.99,,,
A07493,945,A Chaste Maid in Cheapside,Adult Professional;Professional,17450,9121,93,0.99,,,
A07970,1129,The Bride,Boys Professional;Professional,15507,8313,84,0.99,,,
A09651,85,The Interlude of Vice (Orestes),Interlude;Nonprofessional,12053,6256,61,0.99,,,
A10438,15,The Beauty and Good Properties of Women (Calisto and Melebea) (Celestina),Interlude;Nonprofessional,8916,4606,46,0.99,,,
A20867,407,Jack Drum's Entertainment (Katherine and Pasquil),Boys Professional;Professional,16164,7904,76,0.99,,,
A11975,371,Henry the Fifth,Adult Professional;Professional,12268,6584,62,0.991,,,
A20093,1039,The Wonder of A Kingdom,Adult Professional;Professional,15433,7801,68,0.991,,,
A00471,9,The Summoning of Everyman,Interlude;Nonprofessional,6802,3678,29,0.992,,,
A02658,39,"The Temptation of Our Lord and Saviour, Jesus Christ, by Satan in the Desert",Interlude;Nonprofessional,3723,1933,16,0.992,,,
A03241.21,1065,"Amphrisa, or The Forsaken Shepherdess (Polopaea and Alope)",Closet/Unacted;Nonprofessional,2492,1278,10,0.992,,,
A04055,53,Impatient Poverty,Interlude;Nonprofessional,7154,3815,32,0.992,,,
A06480,123,All for Money,Interlude;Nonprofessional,14843,8524,68,0.992,,,
A07503,806,"The Inner-Temple Masque, or The Masque of Heroes",Occasional;Nonprofessional;University/Inns of Court,2400,1145,9,0.992,,,
A09134,147,Fedele and Fortunia (Two Italian Gentlemen),Boys Professional;Professional;Translation,15634,8359,64,0.992,,,
A10407,987,The Jealous Lovers,University/Inns of Court;Nonprofessional,25833,13270,104,0.992,,,
A11954.19,374,Henry the Fifth,Adult Professional;Professional,26073,13607,104,0.992,,,
A18463,1011,The Royal Entry of King Charles I into Edinburgh (The Entertainment at Edinburgh),Occasional;Nonprofessional,6691,2974,24,0.992,,,
A02732,489,Arches of Triumph (The Royal Entry of King James I into London),Occasional;Nonprofessional,6689,3254,23,0.993,,,
A03175,19,"The Pardoner and the Friar, the Curate, and Neighbor Pratte",Interlude;Nonprofessional,5230,2772,19,0.993,,,
A03181,22,The Play of the Weather,Interlude;Nonprofessional,10547,5562,40,0.993,,,
A07009,476,Doctor Faustus,Adult Professional;Professional,11478,5714,38,0.993,,,
A09223,148,The Pageant before Woolstone Dixie,Occasional;Nonprofessional,996,428,3,0.993,,,
A13384,910,Aminta,Translation;Nonprofessional;Closet/Unacted,18826,9599,68,0.993,,,
A19183,434,How a Man May Choose a Good Wife from a Bad,Adult Professional;Professional,21401,11913,88,0.993,,,
A02827,907,Apollo Shroving,Boys Nonprofessional/School;Nonprofessional,23095,12153,75,0.994,,,
A03234,963,London's Ius Honorarium (London's Law of Honor),Occasional;Nonprofessional,3287,1582,10,0.994,,,
A03241.19,1063,Jupiter and Io,Closet/Unacted;Nonprofessional,5454,2747,16,0.994,,,
A03255,1071,The Wise Woman of Hogsdon,Adult Professional;Professional,17667,9804,61,0.994,,,
A07065,501,The Dutch Courtesan (Cockle de Moye),Boys Professional;Professional,17656,8994,51,0.994,,,
A07512,906,The Triumphs of Health and Prosperity,Occasional;Nonprofessional,1781,837,5,0.994,,,
A09220,139,The Arraignment of Paris,Boys Professional;Professional,10435,5158,30,0.994,,,
A09232,264,The Old Wives Tale,Adult Professional;Professional,7628,4146,25,0.994,,,
A10495,1135,The Rebellion,Adult Professional;Professional,16352,8039,45,0.994,,,
A11909.3,132,Thebais (Seneca's Third Tragedy),Translation;Nonprofessional;Closet/Unacted,12107,5865,36,0.994,,,
A14713,54,Nice Wanton,Interlude;Nonprofessional,4697,2495,14,0.994,,,
A14846,74,Lusty Juventus,Interlude;Nonprofessional,9302,4824,31,0.994,,,
A18427,1095,The Ball,Adult Professional;Professional,17704,9608,59,0.994,,,
A21159,100,Damon and Pithias,Boys Nonprofessional/School;Nonprofessional,18499,9309,54,0.994,,,
A68918,131,The Conflict of Conscience,Interlude;Nonprofessional,20260,10415,59,0.994,,,
A72473.2.3,1171,Mortimer His Fall,Closet/Unacted;Professional,574,308,2,0.994,,,
A00725,697,A Woman Is a Weathercock,Boys Professional;Professional,16408,8893,44,0.995,,,
A01425,924,"Wine, Beer, and Ale Together by the Ears (Wine, Beer, Ale, and Tobacco Contending for Superiority)",University/Inns of Court;Nonprofessional,6165,3378,16,0.995,,,
A02906,37,The Chief Promises of God unto Man (God's Promises),Interlude;Nonprofessional,8478,3942,21,0.995,,,
A03242,1086,"Porta Pietatis, or The Port or Harbor of Piety",Occasional;Nonprofessional,3398,1650,9,0.995,,,
A03571.2,57,Robin Hood (Robin Hood and the Friar) (Robin Hood and the Potter),Nonprofessional;Interlude,1456,827,4,0.995,,,
A04942,190,The Spanish Tragedy (Hieronimo is Mad Again),Adult Professional;Professional,20846,10812,52,0.995,,,
A06621,181,Midas,Boys Professional;Professional,15103,8114,37,0.995,,,
A06629,298,The Woman in the Moon,Boys Professional;Professional,12231,6552,30,0.995,,,
A07064,420,Antonio's Revenge (2 Antonio and Mellida),Boys Professional;Professional,14938,6609,34,0.995,,,
A07510,825,The Sun in Aries,Occasional;Nonprofessional,2392,1070,5,0.995,,,
A15517,155,The Three Lords and Three Ladies of London,Adult Professional;Professional,20597,10870,53,0.995,,,
A17871,561,The Masque at Lord Hay's Marriage (Apollo's Knights),Occasional;Nonprofessional,4434,2059,10,0.995,,,
A19260,732,"Greene's Tu Quoque, or The City Gallant",Adult Professional;Professional,23585,13501,62,0.995,,,
A20066,707,"If It Be Not Good, the Devil Is in It (If This Be Not a Good Play, the Devil Is in It)",Adult Professional;Professional,21429,10276,55,0.995,,,
A00723,798,Amends for Ladies,Adult Professional;Professional;Boys Professional,18227,10115,36,0.996,,,
