tcp,text_node_path,section,innermost_div,decision,text_role,basis,source,status,decided_on,target_unit_id
A01353,/*/*[2],back,song,include,song,Like Will to Like: closing song printed after the play - sung at the end,Claude content audit 2026-09-07 (frame text read),applied,2026-09-07,
A02658,/*/*[2],front,preface,include,prologue,"Bale, Temptation of Our Lord: Baleus Prolocutor's opening speech (After hys baptyme Christ was Gods sonne declared) - spoken prologue",Claude content audit 2026-09-07 (frame text read),applied,2026-09-07,
A02738,/*/*[2],back,song,include,song,Three Laws: Benedictus dominus - song sung at the close,Claude content audit 2026-09-07 (frame text read),applied,2026-09-07,
A03258,/*/*[2],back,song,include,song,"Late Lancashire Witches: song (Come Mawsy, come Puckling) printed after the play",Claude content audit 2026-09-07 (frame text read),applied,2026-09-07,
A04632,/*/*[2]/*[2]/*[4],back,section,include,epilogue,"Poetaster 1616: the Apologeticall Dialogue - Jonson states it was 'only once spoken upon the stage'; performed dialogue with the author, classed as epilogue (editorial)",Claude content audit 2026-09-07 (frame text read),applied,2026-09-07,
A04633,/*/*[2]/*/*[3],front,introduction,include,induction,Staple of News: the Induction (gossips on the stage) - dialogue,Claude content audit 2026-09-07 (frame text read),applied,2026-09-07,
A07063,/*/*[2],front,introduction,include,induction,Antonio and Mellida: the Induction (the actors discuss their parts) - dialogue,Claude content audit 2026-09-07 (frame text read),applied,2026-09-07,
A07251,/*/*[2],front,song,include,song,"Fatal Dowry: the play's song printed before the text (Fie, cease to wonder) - performed song",Claude content audit 2026-09-07 (frame text read),applied,2026-09-07,
A07518,/*/*[2],back,song,include,song,Triumphs of Truth: closing song,Claude content audit 2026-09-07 (frame text read),applied,2026-09-07,
A13125,/*/*[2]/*/*[2],back,epilogue,exclude,,Aglaura: epilogue of the ALTERNATIVE (tragicomic) version whose text is excluded_from_main (A13125.2) - stays with that version,Claude content audit 2026-09-07 (frame text read),applied,2026-09-07,
A13125,/*/*[2]/*/*[2],front,prologue,exclude,,"Aglaura: prologue of the alternative version (A13125.2, excluded_from_main)",Claude content audit 2026-09-07 (frame text read),applied,2026-09-07,
A14193,/*/*[2],back,song,include,song,Ralph Roister Doister: closing song (Who so to marry a minion wife),Claude content audit 2026-09-07 (frame text read),applied,2026-09-07,
A17871,/*/*[2],back,song,exclude,,Lord Hay's Masque: the song 'Now hath Flora robde her bowres' printed again at the back with its musical setting - DUPLICATE of the song already in the body (s8),Claude content audit 2026-09-07 (frame text read),applied,2026-09-07,
A18404,/*/*[2],front,prologue,include,prologue,"INCLUDE ONCE on the Conspiracy (A18404.1 / work 274 / edition 647 / DEEP 5069.01), role prologue: The printed prologue precedes Byrons Conspiracie and explicitly names our Conspirator. Attribute one copy to the first play for analysis while recording its possible relevance to both plays. This is editorial attribution by printed sequence and wording, not proof that it was historically performed only with Part 1. Do not duplicate into Part 2 or copy across editions. (was deferred 2026-09-07)",Claude content audit 2026-09-07 (frame text read) | policy_decisions.csv 2026-09-08 (ChatGPT v2 close-out proposal forwarded by Grace); applied by Claude 2026-09-08 (byron_prologue_attribution_recommendation.json; 24 node hashes verified),applied,2026-09-08,A18404.1
A20092,/*/*[2],front,dumb_show,exclude,,Whore of Babylon: dumb-show description (He drawes a Curtaine...) - stage narration,Claude content audit 2026-09-07 (frame text read),applied,2026-09-07,
A69188,/*/*[2]/*/*[1],front,preface,include,induction,"Isle of Gulls: the Induction (How now gallants, what ist?) - dialogue",Claude content audit 2026-09-07 (frame text read),applied,2026-09-07,
A72254,/*/*[2],front,introduction,include,induction,Rival Friends: the introduction/induction with its song (Drowsie Phoebus come away),Claude content audit 2026-09-07 (frame text read),applied,2026-09-07,
A72473,/*/*[2]/*/*[1]/*[2]/*[1],front,induction,include,induction,Bartholomew Fair 1640 vol. 2: the Induction on the stage (opening line),Claude content audit 2026-09-07 (frame text read),applied,2026-09-07,
A72473,/*/*[2]/*/*[1]/*[2]/*[1],front,part,include,induction,Bartholomew Fair 1640 vol. 2: continuation of the Induction (Stage-keeper / Book-holder dialogue) encoded as 'part',Claude content audit 2026-09-07 (frame text read),applied,2026-09-07,
A72473,/*/*[2]/*/*[1]/*[2]/*[2],front,induction,include,induction,Staple of News 1640 vol. 2: the Induction,Claude content audit 2026-09-07 (frame text read),applied,2026-09-07,
